Height,CanopySize,Diameter
8.0,12.6,15.0
8.0,12.6,18.0
8.0,12.6,18.0
5.0,7.1,9.0
7.0,12.6,17.0
5.0,7.1,13.0
6.0,50.3,24.0
6.0,50.3,24.0
6.0,38.5,18.0
7.0,78.5,26.0
6.0,28.3,19.0
6.0,28.3,19.0
6.0,28.3,19.0
6.0,28.3,19.0
6.0,28.3,19.0
6.0,28.3,19.0
6.0,28.3,21.0
7.0,38.5,24.0
6.0,28.3,21.0
6.0,28.3,21.0
7.0,38.5,27.0
6.0,28.3,16.0
8.0,50.3,32.0
7.0,12.6,13.0
5.0,3.1,10.0
6.0,7.1,12.0
6.0,7.1,12.0
6.0,7.1,12.0
5.0,4.9,10.0
12.0,7.1,20.0
12.0,7.1,20.0
12.0,7.1,20.0
8.0,7.1,20.0
8.0,7.1,20.0
8.0,7.1,20.0
6.0,7.1,10.0
6.0,7.1,10.0
6.0,7.1,10.0
6.0,7.1,10.0
6.0,7.1,10.0
6.0,3.1,4.0
6.0,3.1,4.0
6.0,3.1,4.0
6.0,3.1,4.0
6.0,3.1,4.0
6.0,3.1,4.0
6.0,3.1,4.0
8.0,7.1,10.0
6.0,7.1,20.0
4.0,7.1,10.0
15.0,12.6,25.0
15.0,12.6,35.0
15.0,7.1,10.0
8.0,7.1,10.0
15.0,12.6,20.0
8.0,7.1,10.0
8.0,12.6,15.0
4.0,1.8,7.0
4.0,1.8,7.0
4.0,1.8,7.0
4.0,1.8,7.0
4.0,1.8,7.0
4.0,1.8,7.0
4.0,1.8,7.0
4.0,1.8,7.0
4.0,1.8,7.0
4.0,1.8,7.0
4.0,1.8,7.0
10.0,7.1,15.0
10.0,7.1,15.0
12.0,7.1,20.0
18.0,19.6,80.0
8.0,7.1,20.0
8.0,7.1,20.0
8.0,7.1,20.0
6.0,7.1,15.0
4.0,0.5,15.0
6.0,1.1,15.0
8.0,0.8,10.0
12.0,1.1,20.0
10.0,12.6,30.0
4.0,3.1,8.0
5.0,3.1,11.0
6.0,7.1,7.0
8.0,7.1,20.0
4.0,3.1,8.0
6.0,3.1,5.0
8.0,7.1,10.0
8.0,7.1,10.0
5.0,3.1,5.0
8.0,7.1,20.0
8.0,7.1,20.0
6.0,7.1,15.0
8.0,7.1,20.0
6.0,7.1,10.0
6.0,7.1,10.0
8.0,7.1,20.0
6.0,7.1,10.0
8.0,7.1,20.0
8.0,7.1,20.0
8.0,7.1,20.0
6.0,7.1,10.0
8.0,7.1,20.0
6.0,7.1,10.0
6.7,7.1,16.3
6.0,12.6,20.0
5.0,1.8,7.0
5.0,1.8,7.0
5.0,1.8,7.0
5.0,1.8,7.0
5.0,1.8,7.0
5.0,1.8,7.0
4.0,12.6,30.0
4.0,7.1,20.0
4.0,7.1,6.0
4.0,7.1,6.0
4.0,7.1,6.0
4.0,7.1,6.0
4.0,12.6,13.0
12.0,19.6,18.0
18.0,7.1,25.0
18.0,7.1,25.0
14.0,12.6,20.0
20.0,12.6,20.0
20.0,12.6,20.0
20.0,12.6,20.0
20.0,12.6,20.0
20.0,12.6,20.0
20.0,12.6,30.0
20.0,12.6,20.0
4.0,7.1,15.0
8.0,7.1,15.0
8.0,7.1,10.0
6.0,12.6,14.0
6.0,12.6,12.0
5.0,12.6,8.0
4.0,12.6,8.0
5.0,12.6,30.0
4.0,7.1,20.0
5.0,12.6,7.0
5.0,12.6,7.0
12.0,7.1,20.0
12.0,7.1,25.0
3.5,7.1,10.0
5.0,12.6,7.0
6.0,7.1,20.0
6.0,7.1,10.0
6.0,7.1,10.0
6.0,7.1,10.0
5.0,12.6,7.0
5.0,12.6,7.0
5.0,12.6,7.0
6.0,7.1,10.0
8.0,7.1,15.0
6.0,7.1,20.0
8.0,12.6,20.0
2.5,3.1,9.0
15.0,12.6,25.0
10.0,7.1,15.0
10.0,7.1,15.0
10.0,7.1,15.0
14.0,7.1,20.0
14.0,7.1,15.0
10.0,7.1,20.0
10.0,7.1,20.0
18.0,7.1,50.0
6.0,28.3,6.0
5.0,9.6,13.0
4.0,4.9,12.0
5.0,7.1,13.0
5.0,9.6,13.0
5.0,9.6,13.0
5.0,9.6,13.0
5.0,9.6,13.0
5.0,9.6,16.0
5.0,12.6,16.0
4.0,7.1,11.0
4.0,7.1,11.0
4.0,7.1,11.0
4.0,3.1,6.0
4.0,3.1,6.0
4.0,3.1,6.0
5.0,4.9,7.0
5.0,4.9,7.0
5.0,4.9,7.0
5.0,4.9,7.0
5.0,4.9,7.0
5.0,4.9,7.0
6.0,28.3,20.0
5.0,3.1,12.0
8.0,50.3,35.0
8.0,50.3,35.0
8.0,50.3,35.0
12.0,24.3,13.0
12.0,24.3,13.0
12.0,24.3,13.0
12.0,24.3,13.0
12.0,24.3,13.0
12.0,24.3,13.0
12.0,24.3,13.0
12.0,24.3,13.0
12.0,24.3,12.0
12.0,24.3,12.0
12.0,24.3,12.0
5.0,7.1,11.0
12.0,7.1,14.0
20.0,12.6,25.0
10.0,7.1,15.0
10.0,7.1,10.0
6.0,7.1,28.0
5.0,7.1,20.0
4.0,12.6,40.0
4.0,7.1,20.0
8.0,50.3,24.0
10.0,78.5,33.0
8.0,50.3,29.0
6.0,50.3,10.0
6.0,19.6,9.0
5.5,19.6,9.0
6.0,28.3,9.0
4.5,4.9,9.0
4.5,4.9,9.0
5.0,3.1,10.0
5.0,7.1,10.0
5.0,3.1,10.0
4.0,1.8,6.0
4.0,0.8,6.0
6.0,12.6,13.0
11.0,78.5,29.0
4.0,4.9,9.0
4.5,7.1,12.0
4.5,3.1,9.0
4.0,7.1,12.0
1.0,0.2,8.0
6.0,28.3,16.0
5.0,1.8,9.0
6.0,28.3,18.0
4.5,0.8,8.0
4.0,0.8,8.0
4.5,0.8,8.0
4.0,12.6,13.0
5.0,12.6,15.0
5.0,12.6,13.0
4.0,0.8,7.0
4.5,12.6,12.0
4.0,1.8,8.0
5.0,12.6,18.0
4.0,1.8,7.0
6.0,12.6,19.0
4.0,0.8,7.0
4.0,0.8,7.0
4.0,7.1,9.0
5.0,7.1,11.0
4.5,12.6,14.0
4.0,0.8,6.0
4.0,0.8,7.0
4.0,0.8,7.0
4.0,7.1,13.0
4.5,12.6,15.0
4.0,0.8,6.0
4.0,0.8,6.0
4.0,0.8,6.0
3.0,0.8,5.0
4.0,0.8,5.0
5.0,12.6,17.0
4.0,1.8,8.0
5.0,19.6,16.0
6.0,19.6,14.0
6.0,19.6,14.0
6.0,19.6,14.0
6.5,19.6,16.0
6.5,19.6,16.0
4.0,7.1,8.0
6.0,19.6,15.0
4.5,12.6,12.0
6.0,28.3,20.0
7.0,3.1,10.0
6.0,3.1,10.0
7.0,3.1,12.0
8.0,3.1,13.0
6.0,7.1,11.0
6.0,7.1,11.0
3.0,1.8,3.0
7.0,50.3,35.0
7.0,12.6,20.0
8.0,28.3,30.0
8.0,0.8,10.0
9.0,0.8,12.0
6.0,0.8,12.0
6.0,7.1,7.0
4.0,3.1,4.0
6.0,19.6,12.0
6.0,7.1,7.0
7.0,50.3,35.0
7.0,19.6,22.0
10.0,50.3,25.0
12.0,78.5,25.0
8.0,28.3,25.0
6.0,7.1,7.0
6.0,3.1,7.0
6.0,7.1,7.0
7.0,28.3,19.0
6.0,12.6,15.0
6.0,12.6,13.0
6.0,12.6,15.0
6.0,12.6,14.0
6.0,12.6,16.0
5.0,4.9,13.0
6.0,15.9,16.0
5.0,7.1,10.0
4.0,1.8,7.0
5.5,19.6,14.0
4.5,12.6,13.0
3.5,1.8,7.0
4.0,3.1,8.0
3.0,0.8,7.0
4.0,3.1,9.0
3.5,1.8,7.0
3.5,1.8,7.0
3.5,1.8,7.0
4.0,12.6,11.0
4.5,19.6,12.0
4.0,0.8,6.0
6.0,12.6,14.0
5.0,12.6,13.0
4.0,1.8,9.0
4.0,7.1,10.0
4.0,7.1,10.0
4.5,12.6,12.0
4.0,4.9,10.0
3.0,0.8,9.0
6.0,19.6,14.0
6.0,19.6,14.0
6.0,19.6,14.0
5.0,7.1,14.0
5.0,7.1,14.0
5.0,7.1,14.0
5.0,7.1,14.0
5.0,7.1,14.0
6.0,19.6,14.0
6.0,19.6,14.0
5.0,7.1,14.0
5.0,4.9,11.0
5.0,4.9,11.0
5.0,4.9,11.0
5.0,7.1,14.0
6.0,19.6,14.0
6.0,19.6,14.0
6.0,19.6,13.0
6.0,19.6,14.0
6.0,12.6,12.0
6.0,12.6,12.0
6.0,12.6,16.0
6.0,12.6,12.0
6.0,12.6,12.0
6.0,12.6,12.0
5.0,4.9,9.0
5.0,4.9,11.0
5.0,7.1,14.0
5.0,4.9,11.0
5.0,7.1,11.0
5.0,7.1,11.0
5.0,7.1,11.0
5.0,4.9,9.0
5.0,7.1,11.0
5.0,7.1,11.0
5.0,7.1,14.0
6.0,19.6,14.0
5.0,7.1,14.0
6.0,19.6,14.0
6.0,19.6,14.0
5.0,7.1,14.0
5.0,7.1,14.0
5.0,7.1,14.0
6.0,19.6,14.0
6.0,19.6,14.0
6.0,19.6,14.0
6.0,19.6,14.0
6.0,19.6,14.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
4.0,4.9,10.0
7.0,12.6,28.0
6.0,28.3,18.0
4.5,12.6,7.0
5.0,12.6,6.0
6.0,19.6,8.0
6.0,19.6,9.0
6.0,19.6,8.0
9.0,19.6,12.0
8.0,19.6,16.0
8.0,19.6,12.0
5.0,12.6,7.0
6.0,19.6,8.0
8.0,50.3,18.0
5.0,12.6,15.0
6.0,28.3,21.0
5.0,12.6,15.0
2.5,7.1,13.0
5.0,12.6,14.0
2.5,7.1,13.0
3.5,38.5,18.0
2.5,7.1,10.0
2.5,4.9,11.0
7.0,38.5,22.0
7.0,38.5,21.0
6.0,28.3,16.0
4.0,28.3,15.0
8.0,50.3,24.0
8.0,50.3,26.0
7.0,28.3,22.0
6.5,28.3,19.0
4.0,38.5,14.0
5.0,28.3,18.0
8.0,38.5,24.0
4.0,12.6,14.0
4.0,7.1,14.0
8.0,50.3,25.0
5.0,12.6,16.0
6.0,50.3,17.0
4.0,12.6,12.0
5.0,7.1,10.0
4.5,4.9,10.0
5.0,3.1,9.0
4.5,4.9,10.0
4.5,4.9,10.0
4.5,4.9,9.0
5.0,3.1,10.0
5.0,3.1,10.0
4.5,4.9,9.0
5.0,3.1,10.0
2.5,3.1,9.0
4.5,3.1,9.0
5.0,7.1,10.0
5.0,7.1,10.0
4.5,4.9,10.0
4.5,4.9,9.0
4.5,3.1,9.0
4.5,4.9,10.0
4.5,3.1,9.0
4.5,7.1,9.0
4.5,4.9,9.0
4.5,7.1,9.0
4.5,4.9,10.0
4.5,3.1,9.0
5.0,3.1,10.0
4.5,3.1,9.0
4.5,4.9,9.0
4.5,4.9,9.0
4.5,4.9,9.0
5.0,3.1,10.0
5.0,38.5,18.0
6.0,28.3,20.0
5.0,19.6,16.0
4.5,15.9,15.0
5.0,19.6,14.0
5.0,19.6,15.0
6.0,28.3,15.0
5.0,19.6,14.0
6.0,28.3,18.0
3.5,1.8,8.0
3.5,1.8,8.0
4.5,15.9,16.0
4.5,15.9,16.0
4.5,12.6,14.0
4.5,12.6,14.0
4.5,12.6,14.0
4.5,19.6,14.0
5.0,38.5,18.0
5.0,38.5,18.0
5.0,38.5,18.0
5.0,28.3,18.0
5.0,28.3,18.0
5.0,28.3,18.0
5.0,28.3,16.0
5.0,38.5,18.0
6.0,12.6,18.0
6.0,12.6,18.0
6.0,12.6,18.0
6.0,12.6,18.0
6.0,12.6,18.0
6.0,12.6,18.0
6.0,12.6,17.0
6.0,12.6,18.0
6.0,12.6,18.0
6.0,12.6,18.0
6.0,12.6,20.0
6.0,12.6,20.0
6.0,12.6,20.0
6.0,12.6,20.0
6.0,12.6,20.0
6.0,12.6,18.0
6.0,12.6,20.0
6.0,12.6,20.0
6.0,12.6,22.0
5.0,12.6,11.0
5.0,7.1,9.0
5.0,12.6,11.0
5.0,12.6,11.0
4.5,7.1,9.0
5.0,9.6,10.0
5.0,7.1,9.0
4.5,7.1,12.0
4.5,7.1,12.0
4.5,7.1,12.0
4.5,7.1,12.0
4.5,7.1,12.0
5.0,19.6,13.0
4.5,7.1,12.0
4.5,7.1,12.0
4.5,7.1,12.0
4.5,7.1,12.0
4.5,7.1,12.0
4.5,7.1,12.0
4.5,7.1,12.0
4.5,7.1,12.0
4.5,7.1,10.0
5.0,7.1,11.0
5.0,7.1,11.0
5.0,12.6,11.0
6.0,12.6,12.0
4.0,7.1,12.0
8.0,28.3,25.0
8.0,28.3,25.0
8.0,28.3,19.0
8.0,28.3,21.0
8.0,28.3,21.0
8.0,28.3,21.0
8.0,28.3,21.0
8.0,28.3,20.0
8.0,28.3,21.0
8.0,28.3,22.0
8.0,28.3,18.0
8.0,28.3,22.0
8.0,28.3,19.0
8.0,28.3,19.0
8.0,28.3,19.0
8.0,28.3,22.0
8.0,28.3,19.0
8.0,28.3,23.0
8.0,28.3,25.0
6.0,19.6,12.0
6.0,19.6,12.0
8.0,28.3,18.0
8.0,28.3,19.0
7.0,19.6,16.0
8.0,50.3,19.0
7.0,28.3,18.0
4.0,1.8,6.0
4.0,1.8,7.0
5.0,12.6,12.0
5.0,12.6,13.0
4.0,1.8,7.0
5.0,12.6,18.0
4.0,4.9,11.0
4.0,12.6,15.0
4.0,4.9,10.0
6.0,15.9,18.0
4.5,0.8,7.0
4.5,0.8,7.0
5.0,12.6,15.0
6.0,12.6,17.0
4.0,0.8,8.0
4.0,1.8,7.0
5.0,12.6,17.0
3.5,3.1,6.0
4.0,15.9,21.0
4.0,1.8,7.0
5.0,4.9,10.0
4.0,1.8,7.0
5.0,4.9,12.0
5.0,4.9,11.0
6.0,28.3,19.0
6.0,28.3,18.0
8.0,28.3,22.0
4.0,7.1,12.0
5.0,12.6,16.0
5.0,12.6,15.0
5.0,7.1,13.0
4.5,7.1,12.0
4.5,7.1,12.0
5.0,4.9,10.0
5.0,7.1,11.0
4.5,4.9,8.0
4.5,4.9,9.0
5.0,3.1,10.0
5.0,7.1,12.0
7.0,28.3,22.0
7.0,28.3,21.0
7.0,28.3,18.0
7.0,28.3,19.0
5.0,7.1,13.0
8.0,28.3,16.0
13.0,78.5,33.0
12.0,78.5,33.0
11.0,50.3,22.0
6.0,1.8,7.0
12.0,78.5,32.0
11.0,63.6,21.0
12.0,78.5,28.0
11.0,63.6,22.0
12.0,95.0,29.0
8.0,23.8,15.0
4.0,0.8,7.0
6.0,12.6,13.0
6.0,12.6,14.0
10.0,63.6,19.0
12.0,78.5,28.0
12.0,78.5,31.0
8.0,38.5,18.0
8.0,50.3,18.0
11.0,50.3,22.0
11.0,63.6,24.0
11.0,63.6,24.0
10.0,50.3,21.0
12.0,95.0,24.0
11.0,78.5,29.0
7.0,38.5,18.0
10.0,50.3,25.0
10.0,50.3,19.0
7.0,12.6,16.0
7.0,12.6,16.0
7.0,28.3,17.0
6.0,12.6,14.0
6.0,12.6,13.0
6.0,28.3,13.0
7.0,28.3,15.0
7.0,38.5,14.0
8.0,38.5,18.0
4.0,0.8,6.0
6.0,12.6,13.0
5.0,1.8,6.0
6.0,4.9,10.0
2.5,0.8,7.0
4.5,12.6,12.0
4.0,3.1,10.0
4.0,3.1,10.0
6.5,12.6,19.0
4.0,1.8,8.0
5.5,19.6,16.0
5.5,28.3,16.0
4.0,0.8,7.0
4.0,0.8,7.0
6.0,28.3,18.0
5.5,19.6,16.0
4.0,0.8,7.0
4.0,1.8,7.0
4.0,1.8,7.0
5.0,19.6,17.0
5.0,19.6,17.0
4.0,7.1,12.0
4.0,12.6,18.0
6.0,28.3,13.0
4.0,12.6,10.0
6.0,19.6,11.0
7.0,28.3,16.0
6.0,28.3,12.0
5.0,7.1,12.0
7.0,28.3,15.0
6.0,12.6,12.0
6.0,12.6,12.0
3.5,7.1,10.0
3.5,7.1,10.0
5.0,19.6,11.0
3.5,4.9,12.0
4.0,12.6,10.0
5.0,19.6,15.0
5.0,19.6,15.0
5.0,19.6,15.0
7.0,38.5,18.0
7.0,38.5,18.0
7.0,28.3,16.0
6.0,38.5,18.0
6.0,28.3,16.0
5.0,19.6,12.0
8.0,50.3,22.0
6.5,28.3,13.0
7.0,38.5,22.0
8.0,38.5,24.0
8.0,38.5,24.0
8.0,28.3,19.0
8.0,38.5,24.0
7.0,28.3,19.0
6.0,19.6,18.0
7.0,38.5,18.0
6.0,19.6,15.0
7.0,28.3,17.0
6.5,28.3,20.0
6.0,19.6,18.0
4.0,1.8,10.0
4.0,1.8,10.0
5.0,4.9,10.0
5.0,4.9,10.0
6.0,3.1,14.0
6.0,3.1,14.0
5.0,1.8,13.0
6.0,3.1,13.0
6.0,3.1,13.0
7.0,7.1,13.0
7.0,7.1,13.0
7.0,7.1,13.0
4.0,4.9,10.0
6.0,4.9,10.0
5.0,7.1,15.0
5.0,7.1,13.0
6.0,7.1,15.0
6.0,7.1,15.0
6.0,7.1,15.0
6.0,4.9,10.0
6.0,4.9,10.0
6.0,4.9,10.0
7.0,7.1,11.0
7.0,7.1,12.0
7.0,7.1,12.0
6.0,4.9,11.0
7.0,7.1,11.0
7.0,7.1,11.0
6.0,28.3,26.0
6.0,7.1,10.0
6.0,7.1,10.0
6.0,7.1,10.0
6.0,28.3,17.0
6.0,28.3,17.0
6.0,28.3,22.0
6.0,28.3,22.0
5.0,7.1,8.0
5.0,12.6,7.0
6.0,7.1,7.0
5.0,3.1,6.0
5.0,3.1,7.0
5.0,3.1,8.0
6.0,7.1,7.0
6.0,12.6,7.0
6.0,7.1,5.0
2.0,3.1,6.0
6.0,12.6,7.0
6.0,12.6,7.0
4.0,7.1,7.0
4.0,7.1,7.0
4.0,7.1,7.0
4.0,3.1,3.0
6.0,4.9,7.0
6.0,7.1,7.0
8.0,28.3,20.0
8.0,28.3,19.0
6.0,19.6,20.0
6.0,19.6,22.0
7.0,19.6,18.0
6.0,12.6,15.0
6.0,12.6,15.0
7.0,19.6,21.0
7.0,28.3,22.0
6.0,19.6,25.0
6.0,19.6,25.0
6.0,19.6,22.0
12.0,28.3,30.0
12.0,28.3,30.0
12.0,28.3,30.0
12.0,28.3,30.0
12.0,19.6,18.0
12.0,19.6,18.0
18.0,7.1,25.0
18.0,7.1,25.0
18.0,7.1,25.0
18.0,7.1,25.0
18.0,7.1,25.0
18.0,7.1,25.0
18.0,7.1,25.0
18.0,7.1,25.0
18.0,7.1,25.0
18.0,7.1,25.0
18.0,7.1,25.0
18.0,7.1,25.0
18.0,7.1,25.0
6.0,12.6,12.0
6.0,12.6,12.0
6.0,12.6,14.0
6.0,12.6,12.0
5.0,12.6,8.0
4.0,12.6,8.0
3.0,12.6,5.0
6.0,12.6,10.0
6.0,12.6,10.0
5.0,12.6,7.0
5.0,12.6,7.0
6.0,12.6,10.0
5.0,12.6,7.0
5.0,12.6,7.0
5.0,12.6,7.0
6.0,12.6,10.0
6.0,12.6,10.0
5.0,12.6,7.0
5.0,12.6,7.0
5.0,12.6,7.0
5.0,12.6,7.0
5.0,12.6,7.0
6.0,12.6,10.0
6.0,12.6,10.0
3.5,12.6,6.0
3.5,12.6,6.0
3.5,12.6,6.0
3.5,12.6,6.0
3.5,12.6,6.0
3.5,12.6,6.0
3.5,12.6,6.0
3.5,12.6,6.0
3.5,12.6,6.0
3.5,12.6,6.0
3.5,12.6,6.0
3.5,12.6,6.0
2.0,3.1,4.0
2.0,3.1,3.0
4.0,7.1,8.0
3.5,3.1,6.0
5.0,3.1,7.0
5.0,3.1,7.0
5.0,3.1,7.0
5.0,3.1,7.0
5.0,3.1,7.0
5.0,3.1,7.0
5.0,3.1,7.0
5.0,3.1,7.0
5.0,3.1,7.0
5.0,3.1,7.0
5.0,3.1,7.0
5.0,3.1,7.0
5.0,3.1,7.0
5.0,3.1,7.0
9.0,19.6,20.0
4.0,7.1,7.0
5.0,1.8,7.0
5.0,7.1,7.0
2.0,7.1,6.0
5.0,3.1,5.0
5.0,7.1,7.0
5.0,3.1,5.0
4.0,3.1,6.0
3.0,3.1,5.0
6.0,3.1,7.0
6.0,7.1,8.0
6.0,1.8,7.0
