Species,Height,Diameter,Leaf_area,CO2,Canopy_size
Celtis australis,6.0,14.0,20.6,0.8,12.6
Platanus x hispanica,10.0,19.0,193.2,3.8,63.6
Platanus x hispanica,12.0,28.0,220.5,6.7,78.5
Platanus x hispanica,12.0,31.0,296.8,7.8,78.5
Platanus x hispanica,8.0,18.0,92.5,3.5,38.5
Platanus x hispanica,8.0,18.0,136.1,3.5,50.3
Platanus x hispanica,11.0,22.0,161.0,4.7,50.3
Platanus x hispanica,11.0,24.0,190.4,5.3,63.6
Platanus x hispanica,11.0,24.0,215.2,5.3,63.6
Platanus x hispanica,10.0,21.0,144.5,4.4,50.3
Platanus x hispanica,12.0,24.0,281.4,5.3,95.0
Platanus x hispanica,11.0,29.0,219.2,7.1,78.5
Platanus x hispanica,7.0,18.0,88.9,3.5,38.5
Tilia cordata,10.0,25.0,189.1,3.8,50.3
Tilia cordata,10.0,19.0,142.0,2.6,50.3
Tilia cordata,7.0,16.0,29.2,2.1,12.6
Tilia cordata,7.0,16.0,25.8,2.1,12.6
Tilia cordata,7.0,17.0,60.7,2.3,28.3
Tilia cordata,6.0,14.0,24.7,1.7,12.6
Tilia cordata,6.0,13.0,21.1,1.6,12.6
Tilia cordata,6.0,13.0,63.7,1.6,28.3
Tilia cordata,7.0,15.0,70.1,1.9,28.3
Tilia cordata,7.0,14.0,100.1,1.7,38.5
Tilia cordata,8.0,18.0,113.8,2.4,38.5
Tilia cordata,4.0,6.0,3.0,0.6,0.8
Tilia cordata,6.0,13.0,25.5,1.6,12.6
Tilia cordata,5.0,6.0,4.4,0.6,1.8
Tilia cordata,6.0,10.0,8.0,1.1,4.9
Tilia cordata,2.5,7.0,2.1,0.7,0.8
Tilia cordata,4.5,12.0,20.1,1.4,12.6
Tilia cordata,4.0,10.0,6.3,1.1,3.1
Tilia cordata,4.0,10.0,6.3,1.1,3.1
Tilia cordata,6.5,19.0,23.2,2.6,12.6
Tilia cordata,4.0,8.0,4.5,0.8,1.8
Tilia cordata,5.5,16.0,33.3,2.1,19.6
Tilia cordata,5.5,16.0,66.9,2.1,28.3
Tilia cordata,4.0,7.0,3.1,0.7,0.8
Tilia cordata,4.0,7.0,3.1,0.7,0.8
Tilia cordata,6.0,18.0,55.0,2.4,28.3
Tilia cordata,5.5,16.0,40.7,2.1,19.6
Tilia cordata,4.0,7.0,3.1,0.7,0.8
Tilia cordata,4.0,7.0,3.3,0.7,1.8
Tilia cordata,4.0,7.0,3.8,0.7,1.8
Tilia cordata,5.0,17.0,43.0,2.3,19.6
Tilia cordata,5.0,17.0,35.6,2.3,19.6
Tilia cordata,4.0,12.0,11.3,1.4,7.1
Tilia cordata,4.0,18.0,25.4,2.4,12.6
Platanus x hispanica,5.0,10.0,7.9,1.5,4.9
Platanus x hispanica,5.0,10.0,7.4,1.5,4.9
Platanus x hispanica,6.0,14.0,7.1,2.4,3.1
Platanus x hispanica,6.0,14.0,7.1,2.4,3.1
Platanus x hispanica,5.0,13.0,4.4,2.2,1.8
Platanus x hispanica,6.0,13.0,7.3,2.2,3.1
Platanus x hispanica,6.0,13.0,7.3,2.2,3.1
Platanus x hispanica,7.0,13.0,13.1,2.2,7.1
Platanus x hispanica,7.0,13.0,11.5,2.2,7.1
Platanus x hispanica,7.0,13.0,13.9,2.2,7.1
Platanus x hispanica,4.0,10.0,6.9,1.5,4.9
Platanus x hispanica,6.0,10.0,8.4,1.5,4.9
Platanus x hispanica,5.0,15.0,12.1,2.7,7.1
Platanus x hispanica,5.0,13.0,9.4,2.2,7.1
Platanus x hispanica,6.0,15.0,13.7,2.7,7.1
Platanus x hispanica,6.0,15.0,12.1,2.7,7.1
Platanus x hispanica,6.0,15.0,10.5,2.7,7.1
Platanus x hispanica,6.0,10.0,7.9,1.5,4.9
Platanus x hispanica,6.0,10.0,7.9,1.5,4.9
Platanus x hispanica,6.0,10.0,9.0,1.5,4.9
Platanus x hispanica,7.0,11.0,11.6,1.7,7.1
Platanus x hispanica,7.0,12.0,11.2,2.0,7.1
Platanus x hispanica,7.0,12.0,12.0,2.0,7.1
Platanus x hispanica,6.0,11.0,9.3,1.7,4.9
Platanus x hispanica,7.0,11.0,10.9,1.7,7.1
Platanus x hispanica,7.0,11.0,10.1,1.7,7.1
Platanus x hispanica,6.0,10.0,10.5,1.5,7.1
Platanus x hispanica,6.0,10.0,11.9,1.5,7.1
Platanus x hispanica,6.0,10.0,9.1,1.5,7.1
Celtis australis,5.0,15.0,18.6,0.8,12.6
Celtis australis,5.0,15.0,18.6,0.8,12.6
Celtis australis,5.0,14.0,20.5,0.8,12.6
Celtis australis,5.0,14.0,20.5,0.8,12.6
Celtis australis,4.0,12.0,10.7,0.7,7.1
Celtis australis,4.0,13.0,14.5,0.7,12.6
Celtis australis,4.0,13.0,16.7,0.7,12.6
Celtis australis,4.0,15.0,16.4,0.8,12.6
Celtis australis,5.0,15.0,17.4,0.8,12.6
Celtis australis,5.0,15.0,21.0,0.8,12.6
Celtis australis,5.0,14.0,20.5,0.8,12.6
Celtis australis,4.0,14.0,19.3,0.8,12.6
Celtis australis,4.0,12.0,18.3,0.7,12.6
Celtis australis,5.0,14.0,19.4,0.8,12.6
Celtis australis,5.0,14.0,20.5,0.8,12.6
Celtis australis,5.0,14.0,20.5,0.8,12.6
Celtis australis,4.0,12.0,14.1,0.7,12.6
Celtis australis,5.0,14.0,20.5,0.8,12.6
Celtis australis,5.0,12.0,9.4,0.7,7.1
Celtis australis,5.0,14.0,15.8,0.8,12.6
Celtis australis,5.0,14.0,17.0,0.8,12.6
Celtis australis,4.5,12.0,14.5,0.7,12.6
Celtis australis,5.0,13.0,20.0,0.7,12.6
Celtis australis,4.0,14.0,26.2,0.8,19.6
Celtis australis,5.0,13.0,20.0,0.7,12.6
Celtis australis,5.0,13.0,20.0,0.7,12.6
Celtis australis,4.5,11.0,10.1,0.7,7.1
Celtis australis,5.0,13.0,20.0,0.7,12.6
Celtis australis,4.5,11.0,10.7,0.7,7.1
Celtis australis,5.0,14.0,20.5,0.8,12.6
Celtis australis,5.0,13.0,20.0,0.7,12.6
Celtis australis,5.0,13.0,20.0,0.7,12.6
Celtis australis,5.0,13.0,15.4,0.7,12.6
Celtis australis,4.0,4.0,3.6,0.3,3.1
Platanus x hispanica,18.0,80.0,507.0,31.0,176.7
Platanus x hispanica,18.0,70.0,626.7,25.6,201.1
Platanus x hispanica,24.0,75.0,680.7,28.3,227.0
Aesculus hippocastanum,15.0,50.0,478.1,13.7,176.7
Aesculus hippocastanum,15.0,60.0,596.6,18.0,113.1
Aesculus hippocastanum,14.0,60.0,476.2,17.9,95.0
Aesculus hippocastanum,16.0,52.5,141.6,14.8,28.3
Celtis australis,6.0,17.0,23.4,0.9,12.6
Celtis australis,6.0,22.0,19.7,1.1,12.6
Celtis australis,7.0,23.0,41.8,1.1,19.6
Celtis australis,10.0,35.0,99.8,1.5,38.5
Celtis australis,9.0,28.0,122.1,1.3,50.3
Celtis australis,8.0,28.0,85.3,1.3,38.5
Celtis australis,12.0,29.0,346.2,1.3,113.1
Celtis australis,9.0,33.0,168.0,1.4,50.3
Celtis australis,9.0,28.0,88.7,1.3,38.5
Celtis australis,8.0,20.0,59.9,1.0,28.3
Tilia cordata,10.0,25.0,96.6,3.8,28.3
Tilia cordata,10.0,25.0,96.6,3.8,28.3
Celtis australis,10.0,25.0,71.1,1.2,28.3
Celtis australis,10.0,25.0,71.1,1.2,28.3
Celtis australis,10.0,29.0,165.8,1.3,50.3
Celtis australis,8.0,27.0,75.3,1.2,28.3
Celtis australis,8.0,25.0,73.2,1.2,28.3
Celtis australis,7.0,18.0,62.3,0.9,28.3
Celtis australis,8.0,22.0,108.6,1.1,50.3
Celtis australis,8.0,22.0,141.0,1.1,50.3
Celtis australis,8.0,16.0,55.4,0.8,28.3
Celtis australis,6.0,20.0,61.7,1.0,28.3
Celtis australis,15.0,50.0,399.4,1.9,113.1
Celtis australis,12.5,46.0,343.7,1.8,95.0
Celtis australis,13.0,46.0,434.2,1.8,113.1
Celtis australis,12.0,45.0,355.0,1.8,113.1
Celtis australis,13.0,46.0,434.2,1.8,113.1
Celtis australis,5.0,18.0,22.4,0.9,12.6
Carpinus betulus,6.2,17.0,21.2,3.2,10.1
Celtis australis,5.0,16.0,35.0,0.8,19.6
Celtis australis,5.0,14.0,20.5,0.8,12.6
Celtis australis,5.0,15.0,16.2,0.8,12.6
Celtis australis,3.5,12.0,13.7,0.7,12.6
Celtis australis,4.0,13.0,17.8,0.7,12.6
Celtis australis,14.0,80.0,65.4,1.2,12.6
Celtis australis,14.0,60.0,124.2,2.2,28.3
Celtis australis,15.0,70.0,251.0,1.8,50.3
Celtis australis,15.0,65.0,251.8,2.0,63.6
Celtis australis,18.0,85.0,514.0,0.8,95.0
Celtis australis,16.0,45.0,351.9,1.8,78.5
Celtis australis,15.0,45.0,427.1,1.8,176.7
Celtis australis,18.0,60.0,343.1,2.2,63.6
Carpinus betulus,8.0,20.0,37.5,3.9,12.6
Carpinus betulus,15.0,35.0,69.8,6.1,12.6
Carpinus betulus,8.0,20.0,28.9,3.9,12.6
Celtis australis,25.0,35.0,84.0,1.5,12.6
Aesculus hippocastanum,6.0,18.0,29.5,3.0,12.6
Aesculus hippocastanum,6.0,20.0,30.7,3.4,12.6
Aesculus hippocastanum,14.0,65.0,451.0,20.1,78.5
Aesculus hippocastanum,12.0,15.0,91.3,2.5,28.3
Aesculus hippocastanum,5.0,15.0,8.6,2.3,3.1
Carpinus betulus,3.0,3.0,4.4,0.5,3.1
Aesculus hippocastanum,12.0,50.0,372.0,13.6,78.5
Carpinus betulus,20.0,60.0,101.0,0.4,12.6
Carpinus betulus,18.0,40.0,77.6,4.4,12.6
Carpinus betulus,25.0,70.0,162.9,0.5,12.6
Carpinus betulus,8.0,10.0,8.3,1.7,3.1
Carpinus betulus,8.0,10.0,9.5,1.7,3.1
Carpinus betulus,8.0,10.0,9.5,1.7,3.1
Carpinus betulus,8.0,10.0,8.9,1.7,3.1
Carpinus betulus,8.0,10.0,10.1,1.7,3.1
Carpinus betulus,7.0,6.0,4.4,1.0,1.8
Celtis australis,20.0,60.0,75.1,2.2,12.6
Celtis australis,20.0,25.0,55.2,1.2,12.6
Aesculus hippocastanum,20.0,30.0,93.0,6.8,19.6
Aesculus hippocastanum,8.0,30.0,39.9,6.3,12.6
Aesculus hippocastanum,6.0,25.0,33.2,4.7,12.6
Aesculus hippocastanum,12.0,62.0,453.5,18.6,78.5
Aesculus hippocastanum,12.0,60.0,218.4,17.7,50.3
Aesculus hippocastanum,7.0,18.0,26.0,3.0,12.6
Aesculus hippocastanum,8.0,28.0,83.6,5.7,28.3
Aesculus hippocastanum,10.0,38.0,115.5,9.0,28.3
Aesculus hippocastanum,8.0,40.0,107.2,9.6,28.3
Aesculus hippocastanum,9.0,45.0,117.0,11.4,28.3
Aesculus hippocastanum,12.0,70.0,230.6,22.3,50.3
Aesculus hippocastanum,12.0,60.0,283.5,17.7,50.3
Aesculus hippocastanum,9.0,50.0,213.5,13.4,50.3
Aesculus hippocastanum,14.0,80.0,334.9,27.4,50.3
Aesculus hippocastanum,6.0,30.0,83.2,6.2,28.3
Aesculus hippocastanum,12.0,40.0,82.2,9.8,19.6
Aesculus hippocastanum,8.0,50.0,168.4,13.3,38.5
Aesculus hippocastanum,7.0,35.0,37.4,7.8,12.6
Aesculus hippocastanum,8.0,40.0,41.7,9.6,12.6
Aesculus hippocastanum,8.0,25.0,11.3,4.8,3.1
Aesculus hippocastanum,8.0,60.0,220.4,17.5,50.3
Aesculus hippocastanum,6.0,28.0,34.5,5.6,12.6
Aesculus hippocastanum,5.0,25.0,16.2,4.7,7.1
Tilia cordata,6.0,13.0,15.1,1.6,7.1
Tilia cordata,5.0,10.0,12.8,1.1,7.1
Tilia cordata,4.0,7.0,7.9,0.7,4.9
Tilia cordata,4.0,8.0,5.1,0.8,3.1
Tilia cordata,3.5,10.0,8.7,1.1,4.9
Tilia cordata,6.0,11.0,12.6,1.3,7.1
Tilia cordata,5.0,8.0,5.5,0.8,3.1
Tilia cordata,3.0,7.0,2.6,0.7,0.8
Tilia cordata,6.0,12.0,19.1,1.4,12.6
Tilia cordata,7.0,19.0,76.2,2.6,28.3
Tilia cordata,8.0,26.0,148.7,4.0,50.3
Tilia cordata,7.0,21.0,115.5,3.0,38.5
Tilia cordata,8.0,22.0,94.1,3.2,38.5
Platanus x hispanica,10.0,32.0,264.9,8.2,95.0
Carpinus betulus,6.0,13.0,22.0,2.3,12.6
Carpinus betulus,6.0,13.0,25.3,2.3,12.6
Carpinus betulus,6.0,13.0,46.2,2.3,19.6
Carpinus betulus,3.5,8.0,2.9,1.3,0.8
Carpinus betulus,6.0,14.0,44.7,2.5,19.6
Carpinus betulus,6.0,11.0,26.9,1.9,12.6
Celtis australis,13.0,52.0,481.2,2.0,132.7
Celtis australis,6.0,19.0,20.1,1.0,12.6
Celtis australis,6.0,20.0,20.5,1.0,12.6
Celtis australis,5.0,14.0,12.0,0.8,7.1
Celtis australis,6.0,26.0,22.5,1.2,12.6
Celtis australis,13.0,64.0,428.5,2.1,132.7
Celtis australis,8.3,30.1,85.1,1.3,35.2
Aesculus hippocastanum,22.0,75.0,1200.3,25.5,314.2
Celtis australis,8.3,30.1,96.9,1.3,35.2
Carpinus betulus,4.0,7.0,6.2,1.1,3.1
Carpinus betulus,4.0,7.0,11.2,1.1,7.1
Carpinus betulus,8.0,13.0,78.2,2.3,28.3
Celtis australis,8.3,30.1,91.0,1.3,35.2
Carpinus betulus,20.0,60.0,101.0,0.4,12.6
Celtis australis,8.3,30.1,91.0,1.3,35.2
Celtis australis,8.3,30.1,102.8,1.3,35.2
Celtis australis,8.0,22.0,53.9,1.1,28.3
Aesculus hippocastanum,10.0,22.0,186.5,4.1,50.3
Carpinus betulus,10.0,18.0,96.2,3.5,28.3
Carpinus betulus,5.0,12.0,20.1,2.1,12.6
Carpinus betulus,10.0,18.0,85.1,3.5,28.3
Carpinus betulus,10.0,23.0,86.8,4.7,28.3
Aesculus hippocastanum,10.0,50.0,405.1,13.4,78.5
Aesculus hippocastanum,10.0,50.0,312.0,13.4,78.5
Celtis australis,13.0,40.0,319.3,1.6,78.5
Aesculus hippocastanum,10.0,60.0,265.7,17.6,50.3
Aesculus hippocastanum,6.0,18.0,16.4,3.0,7.1
Aesculus hippocastanum,8.4,39.6,107.0,9.4,32.7
Aesculus hippocastanum,8.4,39.6,107.0,9.4,32.7
Aesculus hippocastanum,8.4,39.6,107.0,9.4,32.7
Celtis australis,8.3,30.1,102.8,1.3,35.2
Celtis australis,8.3,30.1,102.8,1.3,35.2
Celtis australis,8.3,30.1,85.1,1.3,35.2
Celtis australis,8.3,30.1,85.1,1.3,35.2
Celtis australis,8.3,30.1,96.9,1.3,35.2
Aesculus hippocastanum,11.0,35.0,200.8,8.0,50.3
Aesculus hippocastanum,10.0,45.0,240.1,11.5,50.3
Aesculus hippocastanum,11.0,40.0,210.5,9.7,50.3
Aesculus hippocastanum,6.0,24.0,52.9,4.5,19.6
Aesculus hippocastanum,11.0,44.0,371.8,11.2,78.5
Aesculus hippocastanum,7.0,40.0,652.8,9.5,201.1
Celtis australis,11.0,37.0,282.1,1.5,78.5
Celtis australis,12.0,35.0,299.0,1.5,78.5
Celtis australis,8.3,30.1,85.1,1.3,35.2
Aesculus hippocastanum,10.0,60.0,135.7,17.6,28.3
Celtis australis,8.3,30.1,91.0,1.3,35.2
Celtis australis,8.3,30.1,102.8,1.3,35.2
Celtis australis,8.3,30.1,102.8,1.3,35.2
Celtis australis,5.5,22.0,12.9,1.1,7.1
Celtis australis,8.3,30.1,96.9,1.3,35.2
Celtis australis,8.3,30.1,102.8,1.3,35.2
Celtis australis,8.3,30.1,102.8,1.3,35.2
Celtis australis,8.0,25.0,73.2,1.2,28.3
Celtis australis,9.0,29.0,132.9,1.3,50.3
Aesculus hippocastanum,8.0,45.0,92.5,11.4,28.3
Aesculus hippocastanum,6.0,30.0,57.2,6.2,19.6
Aesculus hippocastanum,12.0,30.0,116.6,6.5,28.3
Aesculus hippocastanum,12.0,40.0,203.4,9.8,50.3
Aesculus hippocastanum,7.0,28.0,28.3,5.6,12.6
Aesculus hippocastanum,9.0,42.0,136.3,10.3,38.5
Aesculus hippocastanum,12.0,40.0,121.6,9.8,28.3
Aesculus hippocastanum,10.0,62.0,411.9,18.5,78.5
Aesculus hippocastanum,8.0,50.0,89.3,13.3,28.3
Aesculus hippocastanum,9.0,35.0,44.8,7.9,12.6
Aesculus hippocastanum,4.0,10.0,6.5,1.3,3.1
Aesculus hippocastanum,12.0,55.0,259.2,15.6,50.3
Aesculus hippocastanum,8.0,45.0,46.1,11.4,12.6
Aesculus hippocastanum,12.0,40.0,129.0,9.8,28.3
Aesculus hippocastanum,12.0,50.0,123.6,13.6,28.3
Aesculus hippocastanum,10.0,60.0,204.6,17.6,50.3
Aesculus hippocastanum,6.0,18.0,17.5,3.0,7.1
Aesculus hippocastanum,12.0,60.0,210.3,17.7,38.5
Aesculus hippocastanum,6.0,18.0,15.4,3.0,7.1
Aesculus hippocastanum,4.0,10.0,21.3,1.3,12.6
Carpinus betulus,6.0,13.0,22.0,2.3,12.6
Carpinus betulus,6.0,7.0,6.3,1.1,3.1
Carpinus betulus,10.0,10.0,20.1,1.7,7.1
Carpinus betulus,6.0,13.0,28.6,2.3,12.6
Carpinus betulus,6.0,13.0,28.6,2.3,12.6
Carpinus betulus,6.0,13.0,28.6,2.3,12.6
Carpinus betulus,6.0,13.0,28.6,2.3,12.6
Carpinus betulus,6.0,13.0,25.3,2.3,12.6
Carpinus betulus,6.0,13.0,28.6,2.3,12.6
Celtis australis,12.0,60.0,517.5,2.2,153.9
Celtis australis,16.0,70.0,304.7,1.8,63.6
Celtis australis,12.0,45.0,159.2,1.8,50.3
Celtis australis,17.0,70.0,529.3,1.8,132.7
Celtis australis,14.0,60.0,434.0,2.2,95.0
Celtis australis,15.0,80.0,672.7,1.2,201.1
Celtis australis,25.0,35.0,94.9,1.5,12.6
Celtis australis,9.0,19.0,106.5,1.0,50.3
Celtis australis,3.0,3.0,2.1,0.3,1.8
Celtis australis,6.0,20.0,61.7,1.0,28.3
Celtis australis,7.0,25.0,228.1,1.2,78.5
Celtis australis,8.0,18.0,73.0,0.9,38.5
Celtis australis,8.0,17.0,92.8,0.9,38.5
Celtis australis,8.0,25.0,106.4,1.2,38.5
Celtis australis,8.0,18.0,35.5,0.9,19.6
Celtis australis,7.0,22.0,55.3,1.1,28.3
Celtis australis,13.0,60.0,394.8,2.2,153.9
Celtis australis,16.0,70.0,344.2,1.8,63.6
Celtis australis,9.0,15.0,13.4,0.8,7.1
Celtis australis,13.0,71.0,475.4,1.7,132.7
Celtis australis,3.5,13.0,18.3,0.7,12.6
Celtis australis,8.0,16.0,90.9,0.8,38.5
Celtis australis,8.0,18.0,94.7,0.9,38.5
Celtis australis,8.0,18.0,131.3,0.9,50.3
Celtis australis,8.0,15.0,73.5,0.8,38.5
Celtis australis,8.0,22.0,116.7,1.1,50.3
Celtis australis,8.0,22.0,53.9,1.1,28.3
Celtis australis,8.5,29.0,65.4,1.3,28.3
Celtis australis,10.0,22.0,133.1,1.1,56.7
Celtis australis,14.0,100.0,307.1,0.1,63.6
Celtis australis,12.0,90.0,264.0,0.4,50.3
Platanus x hispanica,24.0,120.0,873.4,5.5,283.5
Platanus x hispanica,22.0,140.0,951.3,0.7,254.5
Platanus x hispanica,16.0,180.0,706.5,8.1,132.7
Platanus x hispanica,28.0,130.0,708.3,3.1,176.7
Platanus x hispanica,25.0,140.0,827.7,0.7,254.5
Platanus x hispanica,25.0,160.0,782.4,0.3,176.7
Platanus x hispanica,24.0,130.0,866.5,3.1,254.5
Platanus x hispanica,24.0,140.0,922.2,0.7,283.5
Platanus x hispanica,30.0,210.0,1873.4,8.1,415.5
Platanus x hispanica,23.0,160.0,1038.9,0.3,283.5
Platanus x hispanica,21.0,100.0,844.7,34.9,254.5
Platanus x hispanica,16.0,100.0,496.6,34.9,113.1
Platanus x hispanica,21.0,110.0,779.3,30.1,227.0
Platanus x hispanica,17.0,130.0,611.7,3.1,95.0
Platanus x hispanica,18.0,120.0,619.4,5.5,201.1
Platanus x hispanica,16.0,140.0,889.5,0.7,254.5
Platanus x hispanica,23.0,160.0,1683.1,0.3,380.1
Platanus x hispanica,14.0,100.0,560.4,34.9,113.1
Platanus x hispanica,26.0,180.0,2039.9,8.1,452.4
Platanus x hispanica,12.0,130.0,646.3,3.1,113.1
Platanus x hispanica,18.0,160.0,1391.0,0.3,314.2
Platanus x hispanica,25.0,120.0,900.9,5.5,254.5
Platanus x hispanica,27.0,200.0,2394.0,8.1,530.9
Platanus x hispanica,28.0,130.0,2019.8,3.1,490.9
Platanus x hispanica,24.0,100.0,704.5,34.9,227.0
Platanus x hispanica,25.0,180.0,1472.0,8.1,346.4
Platanus x hispanica,24.0,180.0,2394.0,8.1,530.9
Platanus x hispanica,20.0,110.0,638.7,30.1,132.7
Tilia cordata,5.0,17.0,21.9,2.3,12.6
Celtis australis,12.0,41.0,177.0,1.6,50.3
Celtis australis,12.0,41.0,328.2,1.6,95.0
Celtis australis,12.0,40.0,198.2,1.6,50.3
Celtis australis,17.0,70.0,353.1,1.8,63.6
Celtis australis,12.0,70.0,396.4,1.8,95.0
Celtis australis,18.0,85.0,456.7,0.8,113.1
Celtis australis,15.0,85.0,297.4,0.8,63.6
Celtis australis,9.0,85.0,407.8,0.8,113.1
Celtis australis,18.0,70.0,353.2,1.8,78.5
Celtis australis,17.0,85.0,234.3,0.8,50.3
Celtis australis,9.0,80.0,399.2,1.2,113.1
Celtis australis,9.0,65.0,164.4,2.0,50.3
Celtis australis,11.0,40.0,248.7,1.6,63.6
Celtis australis,15.0,20.0,37.7,1.0,12.6
Celtis australis,10.0,30.0,17.0,1.3,7.1
Celtis australis,12.0,15.0,24.7,0.8,12.6
Aesculus hippocastanum,6.0,15.0,14.5,2.3,7.1
Aesculus hippocastanum,8.0,40.0,88.7,9.6,28.3
Aesculus hippocastanum,6.0,30.0,88.2,6.2,28.3
Aesculus hippocastanum,7.0,35.0,63.7,7.8,19.6
Aesculus hippocastanum,8.0,25.0,28.8,4.8,12.6
Aesculus hippocastanum,14.0,60.0,295.7,17.9,63.6
Aesculus hippocastanum,6.0,15.0,16.4,2.3,7.1
Aesculus hippocastanum,8.0,35.0,102.2,7.9,28.3
Aesculus hippocastanum,8.0,30.0,195.0,6.3,50.3
Carpinus betulus,10.0,18.0,96.2,3.5,28.3
Carpinus betulus,6.0,16.0,30.7,3.0,12.6
Carpinus betulus,10.0,10.0,15.5,1.7,7.1
Carpinus betulus,10.0,10.0,16.7,1.7,7.1
Carpinus betulus,12.0,20.0,29.4,3.9,7.1
Carpinus betulus,12.0,20.0,22.7,3.9,7.1
Carpinus betulus,18.0,25.0,61.4,5.3,12.6
Carpinus betulus,20.0,25.0,83.8,5.3,12.6
Carpinus betulus,12.0,40.0,107.8,4.4,28.3
Carpinus betulus,12.0,40.0,266.5,4.4,50.3
Carpinus betulus,6.0,13.0,28.6,2.3,12.6
Carpinus betulus,6.0,13.0,28.6,2.3,12.6
Carpinus betulus,6.0,13.0,25.3,2.3,12.6
Celtis australis,10.0,25.0,193.6,1.2,63.6
Celtis australis,10.0,25.0,193.6,1.2,63.6
Celtis australis,12.0,27.0,225.8,1.2,78.5
Celtis australis,20.0,30.0,51.2,1.3,12.6
Celtis australis,7.0,15.0,19.6,0.8,12.6
Platanus x hispanica,25.0,160.0,966.8,0.3,283.5
Platanus x hispanica,26.0,170.0,1615.6,8.1,380.1
Platanus x hispanica,26.0,190.0,1873.4,8.1,415.5
Platanus x hispanica,25.0,180.0,1615.6,8.1,380.1
Platanus x hispanica,20.0,90.0,487.2,36.5,113.1
Platanus x hispanica,20.0,120.0,501.9,5.5,113.1
Platanus x hispanica,21.0,100.0,710.8,34.9,201.1
Aesculus hippocastanum,3.0,8.0,13.6,0.9,7.1
Carpinus betulus,6.0,13.0,23.6,2.3,12.6
Carpinus betulus,5.0,30.0,48.7,6.7,19.6
Aesculus hippocastanum,7.5,18.0,24.9,3.0,12.6
Aesculus hippocastanum,8.0,16.0,24.9,2.6,9.6
Aesculus hippocastanum,12.0,22.0,29.8,4.2,9.6
Celtis australis,10.0,29.0,165.8,1.3,50.3
Celtis australis,8.0,35.0,277.7,1.5,78.5
Platanus x hispanica,10.0,28.0,275.9,6.7,78.5
Platanus x hispanica,10.0,26.0,301.3,6.0,95.0
Platanus x hispanica,6.5,16.0,39.3,3.0,19.6
Platanus x hispanica,6.5,15.0,29.6,2.7,19.6
Tilia cordata,10.0,30.0,271.3,4.9,78.5
Celtis australis,14.0,52.0,455.5,2.0,113.1
Celtis australis,12.5,45.0,291.9,1.8,78.5
Celtis australis,10.0,28.0,318.2,1.3,113.1
Platanus x hispanica,3.0,10.0,4.9,1.5,3.1
Tilia cordata,4.0,8.0,3.5,0.8,1.8
Tilia cordata,5.0,10.0,12.8,1.1,7.1
Tilia cordata,4.5,10.0,6.1,1.1,3.1
Celtis australis,13.0,42.3,138.1,1.7,38.5
Platanus x hispanica,24.0,110.0,1218.6,30.1,314.2
Platanus x hispanica,25.0,160.0,1772.8,0.3,452.4
Celtis australis,9.0,3.0,72.1,0.3,50.3
Celtis australis,20.0,28.0,42.2,1.3,7.1
Aesculus hippocastanum,8.0,28.0,94.5,5.7,28.3
Carpinus betulus,14.0,32.8,64.2,6.6,12.6
Carpinus betulus,12.0,21.0,111.5,4.2,28.3
Carpinus betulus,10.0,21.0,84.1,4.2,28.3
Carpinus betulus,12.0,22.0,160.0,4.5,38.5
Carpinus betulus,14.0,17.0,158.1,3.2,38.5
Carpinus betulus,13.0,26.0,136.0,5.6,38.5
Celtis australis,9.0,25.0,152.4,1.2,50.3
Celtis australis,8.3,30.1,85.1,1.3,35.2
Celtis australis,8.3,30.1,79.2,1.3,35.2
Aesculus hippocastanum,6.0,16.0,15.8,2.5,7.1
Aesculus hippocastanum,12.0,50.0,204.7,13.6,50.3
Aesculus hippocastanum,12.0,40.0,106.8,9.8,28.3
Aesculus hippocastanum,8.0,22.0,134.6,4.0,50.3
Aesculus hippocastanum,7.0,30.0,37.6,6.2,12.6
Aesculus hippocastanum,12.0,40.0,99.4,9.8,28.3
Aesculus hippocastanum,12.0,60.0,283.5,17.7,50.3
Aesculus hippocastanum,8.0,20.0,79.1,3.5,28.3
Aesculus hippocastanum,12.0,30.0,116.6,6.5,28.3
Aesculus hippocastanum,8.0,28.0,72.8,5.7,28.3
Aesculus hippocastanum,9.0,38.0,218.9,8.9,50.3
Aesculus hippocastanum,8.0,35.0,37.3,7.9,12.6
Aesculus hippocastanum,8.0,40.0,82.5,9.6,28.3
Aesculus hippocastanum,8.0,35.0,102.2,7.9,28.3
Aesculus hippocastanum,6.0,36.0,88.7,8.1,28.3
Aesculus hippocastanum,6.0,25.0,82.7,4.7,28.3
Aesculus hippocastanum,9.0,45.0,232.4,11.4,50.3
Aesculus hippocastanum,5.0,18.0,13.5,2.9,7.1
Aesculus hippocastanum,8.0,50.0,116.0,13.3,28.3
Aesculus hippocastanum,10.0,30.0,106.2,6.4,28.3
Aesculus hippocastanum,12.0,65.0,291.7,20.0,50.3
Aesculus hippocastanum,6.0,30.0,35.4,6.2,12.6
Aesculus hippocastanum,9.0,35.0,94.8,7.9,28.3
Aesculus hippocastanum,12.0,65.0,310.7,20.0,63.6
Aesculus hippocastanum,7.0,32.0,72.8,6.8,28.3
Aesculus hippocastanum,8.0,35.0,90.5,7.9,28.3
Aesculus hippocastanum,7.0,30.0,92.4,6.2,28.3
Aesculus hippocastanum,12.0,65.0,153.2,20.0,28.3
