Species,Height,Diameter,Leaf_area,Canopy_size,CO2
Carpinus betulus,6.0,4.0,5.9,3.1,0.6
Carpinus betulus,6.0,4.0,4.8,3.1,0.6
Carpinus betulus,8.0,10.0,17.6,7.1,1.7
Carpinus betulus,6.0,20.0,16.3,7.1,3.9
Carpinus betulus,4.0,10.0,11.1,7.1,1.7
Carpinus betulus,15.0,25.0,58.4,12.6,5.3
Carpinus betulus,15.0,35.0,53.7,12.6,6.1
Carpinus betulus,15.0,10.0,28.2,7.1,1.7
Carpinus betulus,8.0,10.0,14.6,7.1,1.7
Carpinus betulus,15.0,20.0,47.4,12.6,3.9
Carpinus betulus,8.0,10.0,16.6,7.1,1.7
Carpinus betulus,8.0,15.0,33.9,12.6,2.7
Carpinus betulus,4.0,7.0,4.8,1.8,1.1
Carpinus betulus,4.0,7.0,4.3,1.8,1.1
Carpinus betulus,4.0,7.0,3.7,1.8,1.1
Carpinus betulus,4.0,7.0,4.0,1.8,1.1
Carpinus betulus,4.0,7.0,4.8,1.8,1.1
Carpinus betulus,4.0,7.0,4.8,1.8,1.1
Carpinus betulus,4.0,7.0,4.8,1.8,1.1
Carpinus betulus,4.0,7.0,4.8,1.8,1.1
Carpinus betulus,4.0,7.0,4.0,1.8,1.1
Carpinus betulus,4.0,7.0,4.8,1.8,1.1
Carpinus betulus,4.0,7.0,4.8,1.8,1.1
Celtis australis,10.0,15.0,14.3,7.1,0.8
Celtis australis,10.0,15.0,17.3,7.1,0.8
Celtis australis,12.0,20.0,20.6,7.1,1.0
Celtis australis,18.0,80.0,109.6,19.6,1.2
Celtis australis,8.0,20.0,16.7,7.1,1.0
Celtis australis,8.0,20.0,16.7,7.1,1.0
Celtis australis,8.0,20.0,14.8,7.1,1.0
Celtis australis,6.0,15.0,11.7,7.1,0.8
Tilia x europaea,5.0,7.0,8.5,4.9,1.6
Tilia x europaea,5.0,7.0,8.5,4.9,1.6
Tilia x europaea,5.0,7.0,7.0,4.9,1.6
Tilia x europaea,5.0,7.0,7.5,4.9,1.6
Tilia x europaea,5.0,7.0,7.0,4.9,1.6
Tilia x europaea,5.0,7.0,8.0,4.9,1.6
Tilia x europaea,6.0,20.0,73.9,28.3,6.7
Tilia x europaea,5.0,12.0,7.6,3.1,3.4
Tilia x europaea,8.0,35.0,198.9,50.3,14.3
Tilia x europaea,8.0,35.0,164.6,50.3,14.3
Tilia x europaea,8.0,35.0,198.9,50.3,14.3
Tilia x europaea,12.0,13.0,71.1,24.3,3.8
Tilia x europaea,12.0,13.0,71.1,24.3,3.8
Tilia x europaea,12.0,13.0,71.1,24.3,3.8
Tilia x europaea,12.0,13.0,62.9,24.3,3.8
Tilia x europaea,12.0,13.0,58.8,24.3,3.8
Tilia x europaea,12.0,13.0,67.0,24.3,3.8
Tilia x europaea,12.0,13.0,58.8,24.3,3.8
Tilia x europaea,12.0,13.0,71.1,24.3,3.8
Tilia x europaea,12.0,12.0,69.1,24.3,3.4
Tilia x europaea,12.0,12.0,57.2,24.3,3.4
Tilia x europaea,12.0,12.0,69.1,24.3,3.4
Tilia x europaea,5.0,11.0,13.2,7.1,3.0
Tilia x europaea,12.0,14.0,23.1,7.1,4.2
Tilia x europaea,20.0,25.0,61.8,12.6,9.1
Tilia x europaea,10.0,15.0,15.9,7.1,4.6
Tilia x europaea,10.0,10.0,16.9,7.1,2.6
Celtis australis,8.0,24.0,112.0,50.3,1.1
Carpinus betulus,4.5,9.0,7.7,4.9,1.5
Carpinus betulus,4.5,9.0,8.3,4.9,1.5
Carpinus betulus,5.0,10.0,6.2,3.1,1.7
Carpinus betulus,5.0,10.0,13.5,7.1,1.7
Carpinus betulus,5.0,10.0,6.7,3.1,1.7
Tilia cordata,4.0,6.0,3.4,1.8,0.6
Tilia cordata,4.0,6.0,3.0,0.8,0.6
Tilia cordata,6.0,13.0,19.7,12.6,1.6
Platanus x hispanica,11.0,29.0,251.9,78.5,7.1
Carpinus betulus,4.0,9.0,8.0,4.9,1.5
Carpinus betulus,4.5,12.0,11.4,7.1,2.1
Carpinus betulus,4.5,9.0,6.2,3.1,1.5
Tilia cordata,4.0,12.0,9.9,7.1,1.4
Tilia cordata,1.0,8.0,0.3,0.2,0.8
Tilia cordata,6.0,16.0,68.5,28.3,2.1
Tilia cordata,5.0,9.0,4.5,1.8,1.0
Tilia cordata,6.0,18.0,71.4,28.3,2.4
Tilia cordata,4.5,8.0,3.4,0.8,0.8
Tilia cordata,4.0,8.0,3.3,0.8,0.8
Tilia cordata,4.5,8.0,2.8,0.8,0.8
Tilia cordata,4.0,13.0,22.6,12.6,1.6
Tilia cordata,5.0,15.0,19.5,12.6,1.9
Tilia cordata,5.0,13.0,18.5,12.6,1.6
Tilia cordata,4.0,7.0,2.6,0.8,0.7
Tilia cordata,4.5,12.0,20.1,12.6,1.4
Tilia cordata,4.0,8.0,4.0,1.8,0.8
Tilia cordata,5.0,18.0,27.0,12.6,2.4
Tilia cordata,4.0,7.0,4.3,1.8,0.7
Tilia cordata,6.0,19.0,29.2,12.6,2.6
Tilia cordata,4.0,7.0,2.9,0.8,0.7
Tilia cordata,4.0,7.0,2.8,0.8,0.7
Tilia cordata,4.0,9.0,8.9,7.1,1.0
Tilia cordata,5.0,11.0,11.0,7.1,1.3
Tilia cordata,4.5,14.0,19.8,12.6,1.7
Tilia cordata,4.0,6.0,2.4,0.8,0.6
Tilia cordata,4.0,7.0,2.4,0.8,0.7
Tilia cordata,4.0,7.0,3.1,0.8,0.7
Tilia cordata,4.0,13.0,11.7,7.1,1.6
Tilia cordata,4.5,15.0,23.1,12.6,1.9
Tilia cordata,4.0,6.0,3.0,0.8,0.6
Tilia cordata,4.0,6.0,2.6,0.8,0.6
Tilia cordata,4.0,6.0,3.0,0.8,0.6
Tilia cordata,3.0,5.0,1.9,0.8,0.4
Tilia cordata,4.0,5.0,2.6,0.8,0.4
Tilia cordata,5.0,17.0,20.3,12.6,2.3
Tilia cordata,4.0,8.0,4.5,1.8,0.8
Tilia cordata,5.0,16.0,42.1,19.6,2.1
Platanus x hispanica,7.0,10.0,5.5,3.1,1.5
Platanus x hispanica,6.0,10.0,6.7,3.1,1.5
Platanus x hispanica,7.0,12.0,7.7,3.1,2.0
Platanus x hispanica,8.0,13.0,6.6,3.1,2.2
Platanus x hispanica,6.0,11.0,9.4,7.1,1.7
Platanus x hispanica,6.0,11.0,12.3,7.1,1.7
Carpinus betulus,6.0,7.0,13.6,7.1,1.1
Carpinus betulus,6.0,7.0,7.6,3.1,1.1
Carpinus betulus,6.0,7.0,13.6,7.1,1.1
Celtis australis,7.0,19.0,63.5,28.3,1.0
Tilia cordata,6.0,15.0,22.2,12.6,1.9
Tilia cordata,6.0,13.0,25.5,12.6,1.6
Tilia cordata,6.0,15.0,26.9,12.6,1.9
Tilia cordata,6.0,14.0,24.7,12.6,1.7
Tilia cordata,6.0,16.0,21.2,12.6,2.1
Tilia cordata,5.0,13.0,9.4,4.9,1.6
Tilia cordata,6.0,16.0,35.1,15.9,2.1
Tilia cordata,5.0,10.0,12.1,7.1,1.1
Tilia cordata,4.0,7.0,3.8,1.8,0.7
Tilia cordata,5.5,14.0,41.2,19.6,1.7
Tilia cordata,4.5,13.0,19.3,12.6,1.6
Tilia cordata,3.5,7.0,4.1,1.8,0.7
Tilia cordata,4.0,8.0,4.8,3.1,0.8
Tilia cordata,3.0,7.0,2.4,0.8,0.7
Tilia cordata,4.0,9.0,5.3,3.1,1.0
Tilia cordata,3.5,7.0,3.7,1.8,0.7
Tilia cordata,3.5,7.0,3.7,1.8,0.7
Tilia cordata,3.5,7.0,4.1,1.8,0.7
Tilia cordata,4.0,11.0,16.4,12.6,1.3
Tilia cordata,4.5,12.0,30.6,19.6,1.4
Tilia cordata,4.0,6.0,2.8,0.8,0.6
Tilia cordata,6.0,14.0,20.2,12.6,1.7
Tilia cordata,5.0,13.0,21.3,12.6,1.6
Tilia cordata,4.0,9.0,4.4,1.8,1.0
Tilia cordata,4.0,10.0,9.3,7.1,1.1
Tilia cordata,4.0,10.0,10.6,7.1,1.1
Tilia cordata,4.5,12.0,22.7,12.6,1.4
Tilia cordata,4.0,10.0,6.9,4.9,1.1
Tilia cordata,3.0,9.0,2.8,0.8,1.0
Celtis australis,6.0,14.0,31.2,19.6,0.8
Celtis australis,6.0,14.0,29.2,19.6,0.8
Celtis australis,6.0,14.0,35.3,19.6,0.8
Celtis australis,5.0,14.0,10.7,7.1,0.8
Celtis australis,5.0,14.0,10.7,7.1,0.8
Celtis australis,5.0,14.0,12.0,7.1,0.8
Celtis australis,5.0,14.0,10.7,7.1,0.8
Celtis australis,5.0,14.0,12.0,7.1,0.8
Celtis australis,6.0,14.0,31.2,19.6,0.8
Celtis australis,6.0,14.0,29.2,19.6,0.8
Celtis australis,5.0,14.0,10.0,7.1,0.8
Celtis australis,5.0,11.0,6.4,4.9,0.7
Celtis australis,5.0,11.0,7.8,4.9,0.7
Celtis australis,5.0,11.0,8.3,4.9,0.7
Celtis australis,5.0,14.0,12.0,7.1,0.8
Celtis australis,6.0,14.0,31.2,19.6,0.8
Celtis australis,6.0,14.0,33.2,19.6,0.8
Celtis australis,6.0,13.0,26.5,19.6,0.7
Celtis australis,6.0,14.0,31.2,19.6,0.8
Celtis australis,6.0,12.0,18.3,12.6,0.7
Celtis australis,6.0,12.0,20.7,12.6,0.7
Celtis australis,6.0,16.0,21.6,12.6,0.8
Celtis australis,6.0,12.0,20.7,12.6,0.7
Celtis australis,6.0,12.0,17.1,12.6,0.7
Celtis australis,6.0,12.0,18.3,12.6,0.7
Celtis australis,5.0,9.0,7.8,4.9,0.6
Celtis australis,5.0,11.0,8.3,4.9,0.7
Celtis australis,5.0,14.0,10.7,7.1,0.8
Celtis australis,5.0,11.0,7.8,4.9,0.7
Celtis australis,5.0,11.0,11.1,7.1,0.7
Celtis australis,5.0,11.0,8.5,7.1,0.7
Celtis australis,5.0,11.0,11.1,7.1,0.7
Celtis australis,5.0,9.0,7.8,4.9,0.6
Celtis australis,5.0,11.0,9.8,7.1,0.7
Celtis australis,5.0,11.0,8.5,7.1,0.7
Celtis australis,5.0,14.0,10.0,7.1,0.8
Celtis australis,6.0,14.0,33.2,19.6,0.8
Celtis australis,5.0,14.0,12.0,7.1,0.8
Celtis australis,6.0,14.0,29.2,19.6,0.8
Celtis australis,6.0,14.0,35.3,19.6,0.8
Celtis australis,5.0,14.0,9.3,7.1,0.8
Celtis australis,5.0,14.0,9.3,7.1,0.8
Celtis australis,5.0,14.0,9.3,7.1,0.8
Celtis australis,6.0,14.0,35.3,19.6,0.8
Celtis australis,6.0,14.0,35.3,19.6,0.8
Celtis australis,6.0,14.0,35.3,19.6,0.8
Celtis australis,6.0,14.0,31.2,19.6,0.8
Celtis australis,6.0,14.0,33.2,19.6,0.8
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,7.5,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,8.0,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,8.0,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,7.5,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,8.0,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,6.9,4.9,1.1
Tilia cordata,4.0,10.0,7.5,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,8.0,4.9,1.1
Tilia cordata,4.0,10.0,8.5,4.9,1.1
Tilia cordata,4.0,10.0,8.0,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,8.0,4.9,1.1
Tilia cordata,4.0,10.0,8.0,4.9,1.1
Tilia cordata,4.0,10.0,8.5,4.9,1.1
Tilia cordata,4.0,10.0,7.5,4.9,1.1
Tilia cordata,4.0,10.0,7.5,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,6.9,4.9,1.1
Tilia cordata,4.0,10.0,8.5,4.9,1.1
Tilia cordata,4.0,10.0,7.5,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,8.5,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,7.5,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,8.0,4.9,1.1
Tilia cordata,4.0,10.0,7.5,4.9,1.1
Tilia cordata,4.0,10.0,8.5,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,8.0,4.9,1.1
Tilia cordata,4.0,10.0,8.5,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,8.0,4.9,1.1
Tilia cordata,4.0,10.0,8.0,4.9,1.1
Tilia cordata,4.0,10.0,8.0,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,6.9,4.9,1.1
Tilia cordata,4.0,10.0,8.5,4.9,1.1
Tilia cordata,4.0,10.0,8.5,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Tilia cordata,4.0,10.0,9.0,4.9,1.1
Celtis australis,6.0,18.0,59.4,28.3,0.9
Carpinus betulus,4.5,10.0,10.4,4.9,1.7
Carpinus betulus,5.0,9.0,7.3,3.1,1.5
Carpinus betulus,4.5,10.0,8.0,4.9,1.7
