nome,Name,0
ARGENTARIO,Aesculus hippocastanum,9
ARGENTARIO,Carpinus betulus,18
ARGENTARIO,Celtis australis,61
ARGENTARIO,Platanus x hispanica,12
ARGENTARIO,Tilia cordata,5
ARGENTARIO,other,349
BONDONE,Aesculus hippocastanum,21
BONDONE,Carpinus betulus,3
BONDONE,Celtis australis,1
BONDONE,Platanus x hispanica,2
BONDONE,Tilia cordata,9
BONDONE,other,256
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,91
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,159
CENTRO STORICO PIEDICASTELLO,Celtis australis,242
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,192
CENTRO STORICO PIEDICASTELLO,Tilia cordata,55
CENTRO STORICO PIEDICASTELLO,other,2225
GARDOLO,Aesculus hippocastanum,4
GARDOLO,Carpinus betulus,53
GARDOLO,Celtis australis,211
GARDOLO,Platanus x hispanica,169
GARDOLO,Tilia cordata,216
GARDOLO,other,998
MATTARELLO,Aesculus hippocastanum,1
MATTARELLO,Carpinus betulus,13
MATTARELLO,Celtis australis,25
MATTARELLO,Platanus x hispanica,6
MATTARELLO,Tilia cordata,6
MATTARELLO,other,213
MEANO,Carpinus betulus,2
MEANO,Celtis australis,9
MEANO,Platanus x hispanica,9
MEANO,Tilia cordata,1
MEANO,other,185
OLTREFERSINA,Aesculus hippocastanum,34
OLTREFERSINA,Carpinus betulus,126
OLTREFERSINA,Celtis australis,341
OLTREFERSINA,Platanus x hispanica,31
OLTREFERSINA,Tilia cordata,116
OLTREFERSINA,other,2047
POVO,Aesculus hippocastanum,13
POVO,Carpinus betulus,1
POVO,Celtis australis,21
POVO,Platanus x hispanica,2
POVO,Tilia cordata,1
POVO,other,151
RAVINA-ROMAGNANO,Aesculus hippocastanum,3
RAVINA-ROMAGNANO,Carpinus betulus,5
RAVINA-ROMAGNANO,Celtis australis,15
RAVINA-ROMAGNANO,Platanus x hispanica,23
RAVINA-ROMAGNANO,Tilia cordata,34
RAVINA-ROMAGNANO,other,239
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,405
S.GIUSEPPE-S.CHIARA,Carpinus betulus,123
S.GIUSEPPE-S.CHIARA,Celtis australis,83
S.GIUSEPPE-S.CHIARA,Platanus x hispanica,53
S.GIUSEPPE-S.CHIARA,Tilia cordata,31
S.GIUSEPPE-S.CHIARA,other,2329
SARDAGNA,other,38
VILLAZZANO,Carpinus betulus,33
VILLAZZANO,Celtis australis,19
VILLAZZANO,Platanus x hispanica,3
VILLAZZANO,Tilia cordata,35
VILLAZZANO,other,326
