Species,Height,Diameter,Canopy_size,Leaf_area
Carpinus betulus,4.0,7.0,1.8,4.8
Carpinus betulus,4.0,7.0,1.8,4.8
Carpinus betulus,4.0,7.0,1.8,4.0
Carpinus betulus,4.0,7.0,1.8,4.8
Carpinus betulus,4.0,7.0,1.8,4.8
Celtis australis,10.0,15.0,7.1,14.3
Celtis australis,10.0,15.0,7.1,17.3
Celtis australis,12.0,20.0,7.1,20.6
Celtis australis,18.0,80.0,19.6,109.6
Celtis australis,8.0,20.0,7.1,16.7
Celtis australis,8.0,20.0,7.1,16.7
Celtis australis,8.0,20.0,7.1,14.8
Celtis australis,6.0,15.0,7.1,11.7
Celtis australis,8.0,24.0,50.3,112.0
Carpinus betulus,4.5,9.0,4.9,7.7
Carpinus betulus,4.5,9.0,4.9,8.3
Carpinus betulus,5.0,10.0,3.1,6.2
Carpinus betulus,5.0,10.0,7.1,13.5
Carpinus betulus,5.0,10.0,3.1,6.7
Tilia cordata,4.0,6.0,1.8,3.4
Tilia cordata,4.0,6.0,0.8,3.0
Tilia cordata,6.0,13.0,12.6,19.7
Platanus x hispanica,11.0,29.0,78.5,251.9
Carpinus betulus,4.0,9.0,4.9,8.0
Carpinus betulus,4.5,12.0,7.1,11.4
Carpinus betulus,4.5,9.0,3.1,6.2
Tilia cordata,4.0,12.0,7.1,9.9
Tilia cordata,1.0,8.0,0.2,0.3
Tilia cordata,6.0,16.0,28.3,68.5
Tilia cordata,5.0,9.0,1.8,4.5
Tilia cordata,6.0,18.0,28.3,71.4
Tilia cordata,4.5,8.0,0.8,3.4
Tilia cordata,4.0,8.0,0.8,3.3
Tilia cordata,4.5,8.0,0.8,2.8
Tilia cordata,4.0,13.0,12.6,22.6
Tilia cordata,5.0,15.0,12.6,19.5
Tilia cordata,5.0,13.0,12.6,18.5
Tilia cordata,4.0,7.0,0.8,2.6
Tilia cordata,4.5,12.0,12.6,20.1
Tilia cordata,4.0,8.0,1.8,4.0
Tilia cordata,5.0,18.0,12.6,27.0
Tilia cordata,4.0,7.0,1.8,4.3
Tilia cordata,6.0,19.0,12.6,29.2
Tilia cordata,4.0,7.0,0.8,2.9
Tilia cordata,4.0,7.0,0.8,2.8
Tilia cordata,4.0,9.0,7.1,8.9
Tilia cordata,5.0,11.0,7.1,11.0
Tilia cordata,4.5,14.0,12.6,19.8
Tilia cordata,4.0,6.0,0.8,2.4
Tilia cordata,4.0,7.0,0.8,2.4
Tilia cordata,4.0,7.0,0.8,3.1
Tilia cordata,4.0,13.0,7.1,11.7
Tilia cordata,4.5,15.0,12.6,23.1
Tilia cordata,4.0,6.0,0.8,3.0
Tilia cordata,4.0,6.0,0.8,2.6
Tilia cordata,4.0,6.0,0.8,3.0
Tilia cordata,3.0,5.0,0.8,1.9
Tilia cordata,4.0,5.0,0.8,2.6
Tilia cordata,5.0,17.0,12.6,20.3
Tilia cordata,4.0,8.0,1.8,4.5
Tilia cordata,5.0,16.0,19.6,42.1
Platanus x hispanica,7.0,10.0,3.1,5.5
Platanus x hispanica,6.0,10.0,3.1,6.7
Platanus x hispanica,7.0,12.0,3.1,7.7
Platanus x hispanica,8.0,13.0,3.1,6.6
Platanus x hispanica,6.0,11.0,7.1,9.4
Platanus x hispanica,6.0,11.0,7.1,12.3
Carpinus betulus,6.0,7.0,7.1,13.6
Carpinus betulus,6.0,7.0,3.1,7.6
Carpinus betulus,6.0,7.0,7.1,13.6
Celtis australis,7.0,19.0,28.3,63.5
Tilia cordata,6.0,15.0,12.6,22.2
Tilia cordata,6.0,13.0,12.6,25.5
Tilia cordata,6.0,15.0,12.6,26.9
Tilia cordata,6.0,14.0,12.6,24.7
Tilia cordata,6.0,16.0,12.6,21.2
Tilia cordata,5.0,13.0,4.9,9.4
Tilia cordata,6.0,16.0,15.9,35.1
Tilia cordata,5.0,10.0,7.1,12.1
Tilia cordata,4.0,7.0,1.8,3.8
Tilia cordata,5.5,14.0,19.6,41.2
Tilia cordata,4.5,13.0,12.6,19.3
Tilia cordata,3.5,7.0,1.8,4.1
Tilia cordata,4.0,8.0,3.1,4.8
Tilia cordata,3.0,7.0,0.8,2.4
Tilia cordata,4.0,9.0,3.1,5.3
Tilia cordata,3.5,7.0,1.8,3.7
Tilia cordata,3.5,7.0,1.8,3.7
Tilia cordata,3.5,7.0,1.8,4.1
Tilia cordata,4.0,11.0,12.6,16.4
Tilia cordata,4.5,12.0,19.6,30.6
Tilia cordata,4.0,6.0,0.8,2.8
Tilia cordata,6.0,14.0,12.6,20.2
Tilia cordata,5.0,13.0,12.6,21.3
Tilia cordata,4.0,9.0,1.8,4.4
Tilia cordata,4.0,10.0,7.1,9.3
Tilia cordata,4.0,10.0,7.1,10.6
Tilia cordata,4.5,12.0,12.6,22.7
Tilia cordata,4.0,10.0,4.9,6.9
Tilia cordata,3.0,9.0,0.8,2.8
Celtis australis,6.0,14.0,19.6,31.2
Celtis australis,6.0,14.0,19.6,29.2
Celtis australis,6.0,14.0,19.6,35.3
Celtis australis,5.0,14.0,7.1,10.7
Celtis australis,5.0,14.0,7.1,10.7
Celtis australis,5.0,14.0,7.1,12.0
Celtis australis,5.0,14.0,7.1,10.7
Celtis australis,5.0,14.0,7.1,12.0
Celtis australis,6.0,14.0,19.6,31.2
Celtis australis,6.0,14.0,19.6,29.2
Celtis australis,5.0,14.0,7.1,10.0
Celtis australis,5.0,11.0,4.9,6.4
Celtis australis,5.0,11.0,4.9,7.8
Celtis australis,5.0,11.0,4.9,8.3
Celtis australis,5.0,14.0,7.1,12.0
Celtis australis,6.0,14.0,19.6,31.2
Celtis australis,6.0,14.0,19.6,33.2
Celtis australis,6.0,13.0,19.6,26.5
Celtis australis,6.0,14.0,19.6,31.2
Celtis australis,6.0,12.0,12.6,18.3
Celtis australis,6.0,12.0,12.6,20.7
Celtis australis,6.0,16.0,12.6,21.6
Celtis australis,6.0,12.0,12.6,20.7
Celtis australis,6.0,12.0,12.6,17.1
Celtis australis,6.0,12.0,12.6,18.3
Celtis australis,5.0,9.0,4.9,7.8
Celtis australis,5.0,11.0,4.9,8.3
Celtis australis,5.0,14.0,7.1,10.7
Celtis australis,5.0,11.0,4.9,7.8
Celtis australis,5.0,11.0,7.1,11.1
Celtis australis,5.0,11.0,7.1,8.5
Celtis australis,5.0,11.0,7.1,11.1
Celtis australis,5.0,9.0,4.9,7.8
Celtis australis,5.0,11.0,7.1,9.8
Celtis australis,5.0,11.0,7.1,8.5
Celtis australis,5.0,14.0,7.1,10.0
Celtis australis,6.0,14.0,19.6,33.2
Celtis australis,5.0,14.0,7.1,12.0
Celtis australis,6.0,14.0,19.6,29.2
Celtis australis,6.0,14.0,19.6,35.3
Celtis australis,5.0,14.0,7.1,9.3
Celtis australis,5.0,14.0,7.1,9.3
Celtis australis,5.0,14.0,7.1,9.3
Celtis australis,6.0,14.0,19.6,35.3
Celtis australis,6.0,14.0,19.6,35.3
Celtis australis,6.0,14.0,19.6,35.3
Celtis australis,6.0,14.0,19.6,31.2
Celtis australis,6.0,14.0,19.6,33.2
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,7.5
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,8.0
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,8.0
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,7.5
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,8.0
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,6.9
Tilia cordata,4.0,10.0,4.9,7.5
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,8.0
Tilia cordata,4.0,10.0,4.9,8.5
Tilia cordata,4.0,10.0,4.9,8.0
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,8.0
Tilia cordata,4.0,10.0,4.9,8.0
Tilia cordata,4.0,10.0,4.9,8.5
Tilia cordata,4.0,10.0,4.9,7.5
Tilia cordata,4.0,10.0,4.9,7.5
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,6.9
Tilia cordata,4.0,10.0,4.9,8.5
Tilia cordata,4.0,10.0,4.9,7.5
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,8.5
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,7.5
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,8.0
Tilia cordata,4.0,10.0,4.9,7.5
Tilia cordata,4.0,10.0,4.9,8.5
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,8.0
Tilia cordata,4.0,10.0,4.9,8.5
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,8.0
Tilia cordata,4.0,10.0,4.9,8.0
Tilia cordata,4.0,10.0,4.9,8.0
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,6.9
Tilia cordata,4.0,10.0,4.9,8.5
Tilia cordata,4.0,10.0,4.9,8.5
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,9.0
Tilia cordata,4.0,10.0,4.9,9.0
Celtis australis,6.0,18.0,28.3,59.4
Carpinus betulus,4.5,10.0,4.9,10.4
Carpinus betulus,5.0,9.0,3.1,7.3
Carpinus betulus,4.5,10.0,4.9,8.0
Carpinus betulus,4.5,10.0,4.9,10.4
Carpinus betulus,4.5,9.0,4.9,8.3
Carpinus betulus,5.0,10.0,3.1,7.1
Carpinus betulus,5.0,10.0,3.1,7.1
Carpinus betulus,4.5,9.0,4.9,8.9
Carpinus betulus,5.0,10.0,3.1,7.1
Carpinus betulus,2.5,9.0,3.1,6.9
Carpinus betulus,4.5,9.0,3.1,7.5
Carpinus betulus,5.0,10.0,7.1,13.5
Carpinus betulus,5.0,10.0,7.1,12.7
Carpinus betulus,4.5,10.0,4.9,8.6
Carpinus betulus,4.5,9.0,4.9,10.1
Carpinus betulus,4.5,9.0,3.1,6.6
Carpinus betulus,4.5,10.0,4.9,10.4
Carpinus betulus,4.5,9.0,3.1,7.5
Carpinus betulus,4.5,9.0,7.1,13.4
Carpinus betulus,4.5,9.0,4.9,9.5
Carpinus betulus,4.5,9.0,7.1,10.3
Carpinus betulus,4.5,10.0,4.9,10.4
Carpinus betulus,4.5,9.0,3.1,6.2
Carpinus betulus,5.0,10.0,3.1,7.6
Carpinus betulus,4.5,9.0,3.1,6.6
Carpinus betulus,4.5,9.0,4.9,8.9
Carpinus betulus,4.5,9.0,4.9,9.5
Carpinus betulus,4.5,9.0,4.9,8.3
Carpinus betulus,5.0,10.0,3.1,6.7
Celtis australis,6.0,18.0,12.6,18.4
Celtis australis,6.0,18.0,12.6,23.8
Celtis australis,6.0,18.0,12.6,23.8
Celtis australis,6.0,18.0,12.6,21.1
Celtis australis,6.0,18.0,12.6,23.8
Celtis australis,6.0,18.0,12.6,23.8
Celtis australis,6.0,17.0,12.6,23.4
Celtis australis,6.0,18.0,12.6,22.5
Celtis australis,6.0,18.0,12.6,23.8
Celtis australis,6.0,18.0,12.6,21.1
Celtis australis,6.0,20.0,12.6,24.7
Celtis australis,6.0,20.0,12.6,21.9
Celtis australis,6.0,20.0,12.6,19.1
Celtis australis,6.0,20.0,12.6,19.1
Celtis australis,6.0,20.0,12.6,19.1
Celtis australis,6.0,18.0,12.6,21.1
Celtis australis,6.0,20.0,12.6,24.7
Celtis australis,6.0,20.0,12.6,20.5
Celtis australis,6.0,22.0,12.6,25.6
Celtis australis,5.0,11.0,12.6,18.9
Celtis australis,5.0,9.0,7.1,9.7
Celtis australis,5.0,11.0,12.6,14.5
Celtis australis,5.0,11.0,12.6,16.7
Celtis australis,4.5,9.0,7.1,10.0
Celtis australis,5.0,10.0,9.6,14.0
Celtis australis,5.0,9.0,7.1,8.5
Celtis australis,4.5,12.0,7.1,11.0
Celtis australis,4.5,12.0,7.1,11.0
Celtis australis,4.5,12.0,7.1,10.4
Celtis australis,4.5,12.0,7.1,10.4
Celtis australis,4.5,12.0,7.1,9.1
Celtis australis,5.0,13.0,19.6,32.6
Celtis australis,4.5,12.0,7.1,11.0
Celtis australis,4.5,12.0,7.1,11.0
Celtis australis,4.5,12.0,7.1,11.0
Celtis australis,4.5,12.0,7.1,9.1
Celtis australis,4.5,12.0,7.1,11.0
Celtis australis,4.5,12.0,7.1,9.8
Celtis australis,4.5,12.0,7.1,11.0
Celtis australis,4.5,12.0,7.1,10.4
Celtis australis,4.5,10.0,7.1,8.0
Celtis australis,5.0,11.0,7.1,11.1
Celtis australis,5.0,11.0,7.1,11.1
Celtis australis,5.0,11.0,12.6,17.8
Celtis australis,6.0,12.0,12.6,20.7
Celtis australis,4.0,12.0,7.1,8.2
Celtis australis,8.0,25.0,28.3,73.2
Celtis australis,8.0,25.0,28.3,56.4
Celtis australis,8.0,19.0,28.3,62.7
Celtis australis,8.0,21.0,28.3,57.0
Celtis australis,8.0,21.0,28.3,68.9
Celtis australis,8.0,21.0,28.3,53.0
Celtis australis,8.0,21.0,28.3,61.0
Celtis australis,8.0,20.0,28.3,52.1
Celtis australis,8.0,21.0,28.3,57.0
Celtis australis,8.0,22.0,28.3,62.0
Celtis australis,8.0,18.0,28.3,65.2
Celtis australis,8.0,22.0,28.3,70.0
Celtis australis,8.0,19.0,28.3,66.5
Celtis australis,8.0,19.0,28.3,51.2
Celtis australis,8.0,19.0,28.3,51.2
Celtis australis,8.0,22.0,28.3,57.9
Celtis australis,8.0,19.0,28.3,58.8
Celtis australis,8.0,23.0,28.3,67.0
Celtis australis,8.0,25.0,28.3,73.2
Celtis australis,6.0,12.0,19.6,33.4
Celtis australis,6.0,12.0,19.6,31.5
Celtis australis,8.0,18.0,28.3,61.5
Celtis australis,8.0,19.0,28.3,66.5
Celtis australis,7.0,16.0,19.6,39.0
Celtis australis,8.0,19.0,50.3,133.9
Celtis australis,7.0,18.0,28.3,48.0
Celtis australis,4.0,6.0,1.8,3.2
Celtis australis,4.0,7.0,1.8,3.0
Celtis australis,5.0,12.0,12.6,19.4
Celtis australis,5.0,13.0,12.6,16.6
Celtis australis,4.0,7.0,1.8,3.4
Tilia cordata,5.0,18.0,12.6,23.9
Tilia cordata,4.0,11.0,4.9,8.8
Tilia cordata,4.0,15.0,12.6,22.4
Tilia cordata,4.0,10.0,4.9,8.0
Tilia cordata,6.0,18.0,15.9,36.6
Tilia cordata,4.5,7.0,0.8,2.9
Tilia cordata,4.5,7.0,0.8,2.5
Tilia cordata,5.0,15.0,12.6,20.9
Tilia cordata,6.0,17.0,12.6,28.1
Tilia cordata,4.0,8.0,0.8,3.3
Tilia cordata,4.0,7.0,1.8,4.3
