Height,Diameter,Canopy_size,Leaf_area
20.0,20.0,12.6,39.5
20.0,20.0,12.6,51.3
20.0,20.0,12.6,48.3
20.0,20.0,12.6,51.3
20.0,20.0,12.6,45.4
20.0,30.0,12.6,59.2
20.0,20.0,12.6,51.3
4.0,15.0,7.1,9.7
8.0,15.0,7.1,11.6
8.0,10.0,7.1,13.0
6.0,14.0,12.6,18.3
6.0,12.0,12.6,16.4
5.0,8.0,12.6,14.2
4.0,8.0,12.6,11.8
5.0,30.0,12.6,22.6
4.0,20.0,7.1,10.1
5.0,7.0,12.6,11.2
5.0,7.0,12.6,13.5
12.0,20.0,7.1,18.4
12.0,25.0,7.1,19.9
3.5,10.0,7.1,7.2
5.0,7.0,12.6,13.5
6.0,20.0,7.1,9.5
6.0,10.0,7.1,9.1
6.0,10.0,7.1,8.0
6.0,10.0,7.1,9.6
5.0,7.0,12.6,13.5
5.0,7.0,12.6,12.7
5.0,7.0,12.6,11.2
6.0,10.0,7.1,9.6
8.0,15.0,7.1,12.0
6.0,20.0,7.1,12.3
8.0,20.0,12.6,22.1
2.5,9.0,3.1,3.5
15.0,25.0,12.6,38.3
10.0,15.0,7.1,13.2
10.0,15.0,7.1,13.2
10.0,15.0,7.1,14.1
14.0,20.0,7.1,20.4
14.0,15.0,7.1,18.4
10.0,20.0,7.1,12.9
10.0,20.0,7.1,13.8
18.0,50.0,7.1,28.4
6.0,6.0,28.3,28.2
5.0,13.0,9.6,10.2
4.0,12.0,4.9,4.6
5.0,13.0,7.1,6.3
5.0,13.0,9.6,10.8
5.0,13.0,9.6,8.3
5.0,13.0,9.6,8.9
5.0,13.0,9.6,9.5
5.0,16.0,9.6,8.9
5.0,16.0,12.6,12.5
4.0,11.0,7.1,6.0
4.0,11.0,7.1,6.0
4.0,11.0,7.1,7.2
4.0,6.0,3.1,5.6
4.0,6.0,3.1,5.6
4.0,6.0,3.1,5.2
5.0,7.0,4.9,8.5
5.0,7.0,4.9,8.5
5.0,7.0,4.9,7.0
5.0,7.0,4.9,7.5
5.0,7.0,4.9,7.0
5.0,7.0,4.9,8.0
6.0,20.0,28.3,73.9
5.0,12.0,3.1,7.6
8.0,35.0,50.3,198.9
8.0,35.0,50.3,164.6
8.0,35.0,50.3,198.9
12.0,13.0,24.3,71.1
12.0,13.0,24.3,71.1
12.0,13.0,24.3,71.1
12.0,13.0,24.3,62.9
12.0,13.0,24.3,58.8
12.0,13.0,24.3,67.0
12.0,13.0,24.3,58.8
12.0,13.0,24.3,71.1
12.0,12.0,24.3,69.1
12.0,12.0,24.3,57.2
12.0,12.0,24.3,69.1
5.0,11.0,7.1,13.2
12.0,14.0,7.1,23.1
20.0,25.0,12.6,61.8
10.0,15.0,7.1,15.9
10.0,10.0,7.1,16.9
6.0,28.0,7.1,14.4
5.0,20.0,7.1,10.7
4.0,40.0,12.6,22.0
4.0,20.0,7.1,8.3
8.0,24.0,50.3,112.0
10.0,33.0,78.5,264.9
8.0,29.0,50.3,145.9
6.0,10.0,50.3,96.5
6.0,9.0,19.6,31.7
5.5,9.0,19.6,25.6
6.0,9.0,28.3,43.3
4.5,9.0,4.9,7.7
4.5,9.0,4.9,8.3
5.0,10.0,3.1,6.2
5.0,10.0,7.1,13.5
5.0,10.0,3.1,6.7
4.0,6.0,1.8,3.4
4.0,6.0,0.8,3.0
6.0,13.0,12.6,19.7
11.0,29.0,78.5,251.9
4.0,9.0,4.9,8.0
4.5,12.0,7.1,11.4
4.5,9.0,3.1,6.2
4.0,12.0,7.1,9.9
1.0,8.0,0.2,0.3
6.0,16.0,28.3,68.5
5.0,9.0,1.8,4.5
6.0,18.0,28.3,71.4
4.5,8.0,0.8,3.4
4.0,8.0,0.8,3.3
4.5,8.0,0.8,2.8
4.0,13.0,12.6,22.6
5.0,15.0,12.6,19.5
5.0,13.0,12.6,18.5
4.0,7.0,0.8,2.6
4.5,12.0,12.6,20.1
4.0,8.0,1.8,4.0
5.0,18.0,12.6,27.0
4.0,7.0,1.8,4.3
6.0,19.0,12.6,29.2
4.0,7.0,0.8,2.9
4.0,7.0,0.8,2.8
4.0,9.0,7.1,8.9
5.0,11.0,7.1,11.0
4.5,14.0,12.6,19.8
4.0,6.0,0.8,2.4
4.0,7.0,0.8,2.4
4.0,7.0,0.8,3.1
4.0,13.0,7.1,11.7
4.5,15.0,12.6,23.1
4.0,6.0,0.8,3.0
4.0,6.0,0.8,2.6
4.0,6.0,0.8,3.0
3.0,5.0,0.8,1.9
4.0,5.0,0.8,2.6
5.0,17.0,12.6,20.3
4.0,8.0,1.8,4.5
5.0,16.0,19.6,42.1
6.0,14.0,19.6,42.2
6.0,14.0,19.6,37.4
6.0,14.0,19.6,42.2
6.5,16.0,19.6,45.5
6.5,16.0,19.6,37.6
4.0,8.0,7.1,11.1
6.0,15.0,19.6,40.8
4.5,12.0,12.6,22.6
6.0,20.0,28.3,30.9
7.0,10.0,3.1,5.5
6.0,10.0,3.1,6.7
7.0,12.0,3.1,7.7
8.0,13.0,3.1,6.6
6.0,11.0,7.1,9.4
6.0,11.0,7.1,12.3
3.0,3.0,1.8,2.0
7.0,35.0,50.3,166.5
7.0,20.0,12.6,21.0
8.0,30.0,28.3,80.9
8.0,10.0,0.8,3.6
9.0,12.0,0.8,3.4
6.0,12.0,0.8,3.4
6.0,7.0,7.1,11.8
4.0,4.0,3.1,4.4
6.0,12.0,19.6,39.1
6.0,7.0,7.1,8.4
7.0,35.0,50.3,128.2
7.0,22.0,19.6,45.2
10.0,25.0,50.3,144.2
12.0,25.0,78.5,211.7
8.0,25.0,28.3,75.8
6.0,7.0,7.1,13.6
6.0,7.0,3.1,7.6
6.0,7.0,7.1,13.6
7.0,19.0,28.3,63.5
6.0,15.0,12.6,22.2
6.0,13.0,12.6,25.5
6.0,15.0,12.6,26.9
6.0,14.0,12.6,24.7
6.0,16.0,12.6,21.2
5.0,13.0,4.9,9.4
6.0,16.0,15.9,35.1
5.0,10.0,7.1,12.1
4.0,7.0,1.8,3.8
5.5,14.0,19.6,41.2
4.5,13.0,12.6,19.3
3.5,7.0,1.8,4.1
4.0,8.0,3.1,4.8
3.0,7.0,0.8,2.4
4.0,9.0,3.1,5.3
3.5,7.0,1.8,3.7
3.5,7.0,1.8,3.7
3.5,7.0,1.8,4.1
4.0,11.0,12.6,16.4
4.5,12.0,19.6,30.6
4.0,6.0,0.8,2.8
6.0,14.0,12.6,20.2
5.0,13.0,12.6,21.3
4.0,9.0,1.8,4.4
4.0,10.0,7.1,9.3
4.0,10.0,7.1,10.6
4.5,12.0,12.6,22.7
4.0,10.0,4.9,6.9
3.0,9.0,0.8,2.8
6.0,14.0,19.6,31.2
6.0,14.0,19.6,29.2
6.0,14.0,19.6,35.3
5.0,14.0,7.1,10.7
5.0,14.0,7.1,10.7
5.0,14.0,7.1,12.0
5.0,14.0,7.1,10.7
5.0,14.0,7.1,12.0
6.0,14.0,19.6,31.2
6.0,14.0,19.6,29.2
5.0,14.0,7.1,10.0
5.0,11.0,4.9,6.4
5.0,11.0,4.9,7.8
5.0,11.0,4.9,8.3
5.0,14.0,7.1,12.0
6.0,14.0,19.6,31.2
6.0,14.0,19.6,33.2
6.0,13.0,19.6,26.5
6.0,14.0,19.6,31.2
6.0,12.0,12.6,18.3
6.0,12.0,12.6,20.7
6.0,16.0,12.6,21.6
6.0,12.0,12.6,20.7
6.0,12.0,12.6,17.1
6.0,12.0,12.6,18.3
5.0,9.0,4.9,7.8
5.0,11.0,4.9,8.3
5.0,14.0,7.1,10.7
5.0,11.0,4.9,7.8
5.0,11.0,7.1,11.1
5.0,11.0,7.1,8.5
5.0,11.0,7.1,11.1
5.0,9.0,4.9,7.8
5.0,11.0,7.1,9.8
5.0,11.0,7.1,8.5
5.0,14.0,7.1,10.0
6.0,14.0,19.6,33.2
5.0,14.0,7.1,12.0
6.0,14.0,19.6,29.2
6.0,14.0,19.6,35.3
5.0,14.0,7.1,9.3
5.0,14.0,7.1,9.3
5.0,14.0,7.1,9.3
6.0,14.0,19.6,35.3
6.0,14.0,19.6,35.3
6.0,14.0,19.6,35.3
6.0,14.0,19.6,31.2
6.0,14.0,19.6,33.2
4.0,10.0,4.9,9.0
4.0,10.0,4.9,6.9
4.0,10.0,4.9,7.5
4.0,10.0,4.9,9.0
4.0,10.0,4.9,8.0
4.0,10.0,4.9,9.0
4.0,10.0,4.9,8.5
4.0,10.0,4.9,7.4
4.0,10.0,4.9,8.0
4.0,10.0,4.9,9.0
4.0,10.0,4.9,9.0
4.0,10.0,4.9,9.0
4.0,10.0,4.9,7.5
4.0,10.0,4.9,9.0
4.0,10.0,4.9,8.0
4.0,10.0,4.9,9.0
4.0,10.0,4.9,6.9
4.0,10.0,4.9,7.5
4.0,10.0,4.9,9.0
4.0,10.0,4.9,8.0
4.0,10.0,4.9,8.5
4.0,10.0,4.9,8.0
4.0,10.0,4.9,9.0
4.0,10.0,4.9,9.0
4.0,10.0,4.9,9.0
4.0,10.0,4.9,8.0
4.0,10.0,4.9,8.0
4.0,10.0,4.9,8.5
4.0,10.0,4.9,7.5
4.0,10.0,4.9,7.5
4.0,10.0,4.9,9.0
4.0,10.0,4.9,6.9
4.0,10.0,4.9,8.5
4.0,10.0,4.9,7.5
4.0,10.0,4.9,9.0
4.0,10.0,4.9,8.5
4.0,10.0,4.9,9.0
4.0,10.0,4.9,9.0
4.0,10.0,4.9,7.5
4.0,10.0,4.9,9.0
4.0,10.0,4.9,9.0
4.0,10.0,4.9,8.0
4.0,10.0,4.9,7.5
4.0,10.0,4.9,8.5
4.0,10.0,4.9,9.0
4.0,10.0,4.9,9.0
4.0,10.0,4.9,8.0
4.0,10.0,4.9,8.5
4.0,10.0,4.9,9.0
4.0,10.0,4.9,9.0
4.0,10.0,4.9,8.0
4.0,10.0,4.9,8.0
4.0,10.0,4.9,8.0
4.0,10.0,4.9,9.0
4.0,10.0,4.9,9.0
4.0,10.0,4.9,6.9
4.0,10.0,4.9,8.5
4.0,10.0,4.9,8.5
4.0,10.0,4.9,9.0
4.0,10.0,4.9,9.0
4.0,10.0,4.9,9.0
7.0,28.0,12.6,28.2
6.0,18.0,28.3,59.4
4.5,7.0,12.6,16.4
5.0,6.0,12.6,12.3
6.0,8.0,19.6,23.4
6.0,9.0,19.6,28.1
6.0,8.0,19.6,30.4
9.0,12.0,19.6,29.0
8.0,16.0,19.6,32.3
8.0,12.0,19.6,27.5
5.0,7.0,12.6,13.5
6.0,8.0,19.6,29.8
8.0,18.0,50.3,135.3
5.0,15.0,12.6,16.5
6.0,21.0,28.3,52.1
5.0,15.0,12.6,17.5
2.5,13.0,7.1,10.8
5.0,14.0,12.6,16.1
2.5,13.0,7.1,10.8
3.5,18.0,38.5,58.3
2.5,10.0,7.1,8.7
2.5,11.0,4.9,7.1
7.0,22.0,38.5,67.2
7.0,21.0,38.5,70.7
6.0,16.0,28.3,47.4
4.0,15.0,28.3,39.8
8.0,24.0,50.3,99.9
8.0,26.0,50.3,124.2
7.0,22.0,28.3,45.9
6.5,19.0,28.3,48.5
4.0,14.0,38.5,58.0
5.0,18.0,28.3,47.1
8.0,24.0,38.5,67.1
4.0,14.0,12.6,16.1
4.0,14.0,7.1,7.2
8.0,25.0,50.3,122.5
5.0,16.0,12.6,17.9
6.0,17.0,50.3,94.6
4.0,12.0,12.6,21.4
5.0,10.0,7.1,6.5
4.5,10.0,4.9,10.4
5.0,9.0,3.1,7.3
4.5,10.0,4.9,8.0
4.5,10.0,4.9,10.4
4.5,9.0,4.9,8.3
5.0,10.0,3.1,7.1
5.0,10.0,3.1,7.1
4.5,9.0,4.9,8.9
5.0,10.0,3.1,7.1
2.5,9.0,3.1,6.9
4.5,9.0,3.1,7.5
5.0,10.0,7.1,13.5
5.0,10.0,7.1,12.7
4.5,10.0,4.9,8.6
4.5,9.0,4.9,10.1
4.5,9.0,3.1,6.6
4.5,10.0,4.9,10.4
4.5,9.0,3.1,7.5
4.5,9.0,7.1,13.4
4.5,9.0,4.9,9.5
4.5,9.0,7.1,10.3
4.5,10.0,4.9,10.4
4.5,9.0,3.1,6.2
5.0,10.0,3.1,7.6
4.5,9.0,3.1,6.6
4.5,9.0,4.9,8.9
4.5,9.0,4.9,9.5
4.5,9.0,4.9,8.3
5.0,10.0,3.1,6.7
5.0,18.0,38.5,78.9
6.0,20.0,28.3,44.5
5.0,16.0,19.6,29.1
4.5,15.0,15.9,23.2
5.0,14.0,19.6,24.1
5.0,15.0,19.6,26.6
6.0,15.0,28.3,52.2
5.0,14.0,19.6,31.3
6.0,18.0,28.3,55.7
3.5,8.0,1.8,3.4
3.5,8.0,1.8,3.4
4.5,16.0,15.9,25.2
4.5,16.0,15.9,20.8
4.5,14.0,12.6,15.5
4.5,14.0,12.6,18.7
4.5,14.0,12.6,17.6
4.5,14.0,19.6,23.5
5.0,18.0,38.5,65.3
5.0,18.0,38.5,60.7
5.0,18.0,38.5,78.9
5.0,18.0,28.3,53.2
5.0,18.0,28.3,50.1
5.0,18.0,28.3,53.2
5.0,16.0,28.3,39.3
5.0,18.0,38.5,78.9
6.0,18.0,12.6,18.4
6.0,18.0,12.6,23.8
6.0,18.0,12.6,23.8
6.0,18.0,12.6,21.1
6.0,18.0,12.6,23.8
6.0,18.0,12.6,23.8
6.0,17.0,12.6,23.4
6.0,18.0,12.6,22.5
6.0,18.0,12.6,23.8
6.0,18.0,12.6,21.1
6.0,20.0,12.6,24.7
6.0,20.0,12.6,21.9
6.0,20.0,12.6,19.1
6.0,20.0,12.6,19.1
6.0,20.0,12.6,19.1
6.0,18.0,12.6,21.1
6.0,20.0,12.6,24.7
6.0,20.0,12.6,20.5
6.0,22.0,12.6,25.6
5.0,11.0,12.6,18.9
5.0,9.0,7.1,9.7
5.0,11.0,12.6,14.5
5.0,11.0,12.6,16.7
4.5,9.0,7.1,10.0
5.0,10.0,9.6,14.0
5.0,9.0,7.1,8.5
4.5,12.0,7.1,11.0
4.5,12.0,7.1,11.0
4.5,12.0,7.1,10.4
4.5,12.0,7.1,10.4
4.5,12.0,7.1,9.1
5.0,13.0,19.6,32.6
4.5,12.0,7.1,11.0
4.5,12.0,7.1,11.0
4.5,12.0,7.1,11.0
4.5,12.0,7.1,9.1
4.5,12.0,7.1,11.0
4.5,12.0,7.1,9.8
4.5,12.0,7.1,11.0
4.5,12.0,7.1,10.4
4.5,10.0,7.1,8.0
5.0,11.0,7.1,11.1
5.0,11.0,7.1,11.1
5.0,11.0,12.6,17.8
6.0,12.0,12.6,20.7
4.0,12.0,7.1,8.2
8.0,25.0,28.3,73.2
8.0,25.0,28.3,56.4
8.0,19.0,28.3,62.7
8.0,21.0,28.3,57.0
8.0,21.0,28.3,68.9
8.0,21.0,28.3,53.0
8.0,21.0,28.3,61.0
8.0,20.0,28.3,52.1
8.0,21.0,28.3,57.0
8.0,22.0,28.3,62.0
8.0,18.0,28.3,65.2
8.0,22.0,28.3,70.0
8.0,19.0,28.3,66.5
8.0,19.0,28.3,51.2
8.0,19.0,28.3,51.2
8.0,22.0,28.3,57.9
8.0,19.0,28.3,58.8
8.0,23.0,28.3,67.0
8.0,25.0,28.3,73.2
6.0,12.0,19.6,33.4
6.0,12.0,19.6,31.5
8.0,18.0,28.3,61.5
8.0,19.0,28.3,66.5
7.0,16.0,19.6,39.0
8.0,19.0,50.3,133.9
